ubicageo_f,gradorga_b,sexostt,sexos1,sexos2
1001,11,0,0,0
1001,12,0,0,0
1001,13,0,0,0
1001,21,0,0,0
1001,22,0,0,0
1001,23,0,0,0
1001,31,0,0,0
1001,32,0,0,0
1001,33,1,1,0
1001,41,0,0,0
1001,42,0,0,0
1001,43,1,1,0
1001,44,219,182,37
1001,50,0,0,0
1001,60,0,0,0
1001,70,0,0,0
1002,11,NA,NA,NA
1002,12,NA,NA,NA
1002,13,NA,NA,NA
1002,21,NA,NA,NA
1002,22,NA,NA,NA
1002,23,NA,NA,NA
1002,31,NA,NA,NA
1002,32,NA,NA,NA
1002,33,NA,NA,NA
1002,41,NA,NA,NA
1002,42,NA,NA,NA
1002,43,NA,NA,NA
1002,44,NA,NA,NA
1002,50,NA,NA,NA
1002,60,NA,NA,NA
1002,70,NA,NA,NA
1003,11,NA,NA,NA
1003,12,NA,NA,NA
1003,13,NA,NA,NA
1003,21,NA,NA,NA
1003,22,NA,NA,NA
1003,23,NA,NA,NA
1003,31,NA,NA,NA
1003,32,NA,NA,NA
1003,33,NA,NA,NA
1003,41,NA,NA,NA
1003,42,NA,NA,NA
1003,43,NA,NA,NA
1003,44,NA,NA,NA
1003,50,NA,NA,NA
1003,60,NA,NA,NA
1003,70,NA,NA,NA
1004,11,NA,NA,NA
1004,12,NA,NA,NA
1004,13,NA,NA,NA
1004,21,NA,NA,NA
1004,22,NA,NA,NA
1004,23,NA,NA,NA
1004,31,NA,NA,NA
1004,32,NA,NA,NA
1004,33,NA,NA,NA
1004,41,NA,NA,NA
1004,42,NA,NA,NA
1004,43,NA,NA,NA
1004,44,NA,NA,NA
1004,50,NA,NA,NA
1004,60,NA,NA,NA
1004,70,NA,NA,NA
1005,11,0,0,0
1005,12,0,0,0
1005,13,0,0,0
1005,21,0,0,0
1005,22,0,0,0
1005,23,0,0,0
1005,31,0,0,0
1005,32,0,0,0
1005,33,0,0,0
1005,41,0,0,0
1005,42,0,0,0
1005,43,3,2,1
1005,44,15,10,5
1005,50,0,0,0
1005,60,0,0,0
1005,70,0,0,0
1006,11,0,0,0
1006,12,0,0,0
1006,13,0,0,0
1006,21,0,0,0
1006,22,0,0,0
1006,23,0,0,0
1006,31,0,0,0
1006,32,0,0,0
1006,33,0,0,0
1006,41,0,0,0
1006,42,0,0,0
1006,43,1,1,0
1006,44,4,1,3
1006,50,0,0,0
1006,60,1,0,1
1006,70,0,0,0
1007,11,NA,NA,NA
1007,12,NA,NA,NA
1007,13,NA,NA,NA
1007,21,NA,NA,NA
1007,22,NA,NA,NA
1007,23,NA,NA,NA
1007,31,NA,NA,NA
1007,32,NA,NA,NA
1007,33,NA,NA,NA
1007,41,NA,NA,NA
1007,42,NA,NA,NA
1007,43,NA,NA,NA
1007,44,NA,NA,NA
1007,50,NA,NA,NA
1007,60,NA,NA,NA
1007,70,NA,NA,NA
1008,11,NA,NA,NA
1008,12,NA,NA,NA
1008,13,NA,NA,NA
1008,21,NA,NA,NA
1008,22,NA,NA,NA
1008,23,NA,NA,NA
1008,31,NA,NA,NA
1008,32,NA,NA,NA
1008,33,NA,NA,NA
1008,41,NA,NA,NA
1008,42,NA,NA,NA
1008,43,NA,NA,NA
1008,44,NA,NA,NA
1008,50,NA,NA,NA
1008,60,NA,NA,NA
1008,70,NA,NA,NA
1009,11,NA,NA,NA
1009,12,NA,NA,NA
1009,13,NA,NA,NA
1009,21,NA,NA,NA
1009,22,NA,NA,NA
1009,23,NA,NA,NA
1009,31,NA,NA,NA
1009,32,NA,NA,NA
1009,33,NA,NA,NA
1009,41,NA,NA,NA
1009,42,NA,NA,NA
1009,43,NA,NA,NA
1009,44,NA,NA,NA
1009,50,NA,NA,NA
1009,60,NA,NA,NA
1009,70,NA,NA,NA
1010,11,NA,NA,NA
1010,12,NA,NA,NA
1010,13,NA,NA,NA
1010,21,NA,NA,NA
1010,22,NA,NA,NA
1010,23,NA,NA,NA
1010,31,NA,NA,NA
1010,32,NA,NA,NA
1010,33,NA,NA,NA
1010,41,NA,NA,NA
1010,42,NA,NA,NA
1010,43,NA,NA,NA
1010,44,NA,NA,NA
1010,50,NA,NA,NA
1010,60,NA,NA,NA
1010,70,NA,NA,NA
1011,11,0,0,0
1011,12,0,0,0
1011,13,0,0,0
1011,21,0,0,0
1011,22,0,0,0
1011,23,0,0,0
1011,31,0,0,0
1011,32,0,0,0
1011,33,0,0,0
1011,41,0,0,0
1011,42,0,0,0
1011,43,0,0,0
1011,44,0,0,0
1011,50,0,0,0
1011,60,0,0,0
1011,70,0,0,0
2001,11,0,0,0
2001,12,0,0,0
2001,13,0,0,0
2001,21,0,0,0
2001,22,0,0,0
2001,23,0,0,0
2001,31,0,0,0
2001,32,0,0,0
2001,33,0,0,0
2001,41,NSS,NSS,NSS
2001,42,NSS,NSS,NSS
2001,43,NSS,NSS,NSS
2001,44,176,152,24
2001,50,0,0,0
2001,60,0,0,0
2001,70,0,0,0
2002,11,0,0,0
2002,12,0,0,0
2002,13,0,0,0
2002,21,0,0,0
2002,22,0,0,0
2002,23,0,0,0
2002,31,0,0,0
2002,32,0,0,0
2002,33,0,0,0
2002,41,0,0,0
2002,42,0,0,0
2002,43,1,1,0
2002,44,1,0,1
2002,50,0,0,0
2002,60,0,0,0
2002,70,0,0,0
2003,11,NA,NA,NA
2003,12,NA,NA,NA
2003,13,NA,NA,NA
2003,21,NA,NA,NA
2003,22,NA,NA,NA
2003,23,NA,NA,NA
2003,31,NA,NA,NA
2003,32,NA,NA,NA
2003,33,NA,NA,NA
2003,41,NA,NA,NA
2003,42,NA,NA,NA
2003,43,NA,NA,NA
2003,44,NA,NA,NA
2003,50,NA,NA,NA
2003,60,NA,NA,NA
2003,70,NA,NA,NA
2004,11,0,0,0
2004,12,0,0,0
2004,13,0,0,0
2004,21,0,0,0
2004,22,0,0,0
2004,23,0,0,0
2004,31,0,0,0
2004,32,0,0,0
2004,33,0,0,0
2004,41,0,0,0
2004,42,0,0,0
2004,43,0,0,0
2004,44,64,59,5
2004,50,0,0,0
2004,60,0,0,0
2004,70,0,0,0
2005,11,0,0,0
2005,12,0,0,0
2005,13,0,0,0
2005,21,0,0,0
2005,22,0,0,0
2005,23,0,0,0
2005,31,0,0,0
2005,32,0,0,0
2005,33,0,0,0
2005,41,0,0,0
2005,42,0,0,0
2005,43,0,0,0
2005,44,10,10,0
2005,50,0,0,0
2005,60,0,0,0
2005,70,0,0,0
2006,11,NA,NA,NA
2006,12,NA,NA,NA
2006,13,NA,NA,NA
2006,21,NA,NA,NA
2006,22,NA,NA,NA
2006,23,NA,NA,NA
2006,31,NA,NA,NA
2006,32,NA,NA,NA
2006,33,NA,NA,NA
2006,41,NA,NA,NA
2006,42,NA,NA,NA
2006,43,NA,NA,NA
2006,44,NA,NA,NA
2006,50,NA,NA,NA
2006,60,NA,NA,NA
2006,70,NA,NA,NA
2007,11,NA,NA,NA
2007,12,NA,NA,NA
2007,13,NA,NA,NA
2007,21,NA,NA,NA
2007,22,NA,NA,NA
2007,23,NA,NA,NA
2007,31,NA,NA,NA
2007,32,NA,NA,NA
2007,33,NA,NA,NA
2007,41,NA,NA,NA
2007,42,NA,NA,NA
2007,43,NA,NA,NA
2007,44,NA,NA,NA
2007,50,NA,NA,NA
2007,60,NA,NA,NA
2007,70,NA,NA,NA
3001,11,0,0,0
3001,12,0,0,0
3001,13,0,0,0
3001,21,0,0,0
3001,22,0,0,0
3001,23,0,0,0
3001,31,0,0,0
3001,32,0,0,0
3001,33,1,1,0
3001,41,0,0,0
3001,42,0,0,0
3001,43,0,0,0
3001,44,0,0,0
3001,50,0,0,0
3001,60,0,0,0
3001,70,0,0,0
3002,11,NSS,NSS,NSS
3002,12,NSS,NSS,NSS
3002,13,NSS,NSS,NSS
3002,21,NSS,NSS,NSS
3002,22,NSS,NSS,NSS
3002,23,NSS,NSS,NSS
3002,31,NSS,NSS,NSS
3002,32,NSS,NSS,NSS
3002,33,NSS,NSS,NSS
3002,41,NSS,NSS,NSS
3002,42,NSS,NSS,NSS
3002,43,NSS,NSS,NSS
3002,44,NSS,NSS,NSS
3002,50,NSS,NSS,NSS
3002,60,NSS,NSS,NSS
3002,70,NSS,NSS,NSS
3003,11,NA,NA,NA
3003,12,NA,NA,NA
3003,13,NA,NA,NA
3003,21,NA,NA,NA
3003,22,NA,NA,NA
3003,23,NA,NA,NA
3003,31,NA,NA,NA
3003,32,NA,NA,NA
3003,33,NA,NA,NA
3003,41,NA,NA,NA
3003,42,NA,NA,NA
3003,43,NA,NA,NA
3003,44,NA,NA,NA
3003,50,NA,NA,NA
3003,60,NA,NA,NA
3003,70,NA,NA,NA
3008,11,0,0,0
3008,12,0,0,0
3008,13,0,0,0
3008,21,0,0,0
3008,22,0,0,0
3008,23,0,0,0
3008,31,0,0,0
3008,32,0,0,0
3008,33,0,0,0
3008,41,0,0,0
3008,42,0,0,0
3008,43,0,0,0
3008,44,0,0,0
3008,50,0,0,0
3008,60,0,0,0
3008,70,0,0,0
3009,11,NA,NA,NA
3009,12,NA,NA,NA
3009,13,NA,NA,NA
3009,21,NA,NA,NA
3009,22,NA,NA,NA
3009,23,NA,NA,NA
3009,31,NA,NA,NA
3009,32,NA,NA,NA
3009,33,NA,NA,NA
3009,41,NA,NA,NA
3009,42,NA,NA,NA
3009,43,NA,NA,NA
3009,44,NA,NA,NA
3009,50,NA,NA,NA
3009,60,NA,NA,NA
3009,70,NA,NA,NA
4001,11,NA,NA,NA
4001,12,NA,NA,NA
4001,13,NA,NA,NA
4001,21,NA,NA,NA
4001,22,NA,NA,NA
4001,23,NA,NA,NA
4001,31,NA,NA,NA
4001,32,NA,NA,NA
4001,33,NA,NA,NA
4001,41,NA,NA,NA
4001,42,NA,NA,NA
4001,43,NA,NA,NA
4001,44,NA,NA,NA
4001,50,NA,NA,NA
4001,60,NA,NA,NA
4001,70,NA,NA,NA
4002,11,NA,NA,NA
4002,12,NA,NA,NA
4002,13,NA,NA,NA
4002,21,NA,NA,NA
4002,22,NA,NA,NA
4002,23,NA,NA,NA
4002,31,NA,NA,NA
4002,32,NA,NA,NA
4002,33,NA,NA,NA
4002,41,NA,NA,NA
4002,42,NA,NA,NA
4002,43,NA,NA,NA
4002,44,NA,NA,NA
4002,50,NA,NA,NA
4002,60,NA,NA,NA
4002,70,NA,NA,NA
4003,11,0,0,0
4003,12,0,0,0
4003,13,0,0,0
4003,21,0,0,0
4003,22,0,0,0
4003,23,0,0,0
4003,31,0,0,0
4003,32,0,0,0
4003,33,0,0,0
4003,41,0,0,0
4003,42,0,0,0
4003,43,0,0,0
4003,44,4,4,0
4003,50,0,0,0
4003,60,0,0,0
4003,70,0,0,0
4004,11,NA,NA,NA
4004,12,NA,NA,NA
4004,13,NA,NA,NA
4004,21,NA,NA,NA
4004,22,NA,NA,NA
4004,23,NA,NA,NA
4004,31,NA,NA,NA
4004,32,NA,NA,NA
4004,33,NA,NA,NA
4004,41,NA,NA,NA
4004,42,NA,NA,NA
4004,43,NA,NA,NA
4004,44,NA,NA,NA
4004,50,NA,NA,NA
4004,60,NA,NA,NA
4004,70,NA,NA,NA
4005,11,NA,NA,NA
4005,12,NA,NA,NA
4005,13,NA,NA,NA
4005,21,NA,NA,NA
4005,22,NA,NA,NA
4005,23,NA,NA,NA
4005,31,NA,NA,NA
4005,32,NA,NA,NA
4005,33,NA,NA,NA
4005,41,NA,NA,NA
4005,42,NA,NA,NA
4005,43,NA,NA,NA
4005,44,NA,NA,NA
4005,50,NA,NA,NA
4005,60,NA,NA,NA
4005,70,NA,NA,NA
4006,11,0,0,0
4006,12,0,0,0
4006,13,0,0,0
4006,21,0,0,0
4006,22,0,0,0
4006,23,0,0,0
4006,31,0,0,0
4006,32,0,0,0
4006,33,0,0,0
