ubicageo_f,orgapoli_j,rnsnni1,totalca1,rnsnni2,totalca2
1001,11,1,281,1,250
1001,12,1,15,1,21
1001,13,2,NA,2,NA
1001,14,2,NA,2,NA
1001,15,2,NA,2,NA
1001,21,2,NA,2,NA
1001,22,1,11,1,25
1001,30,2,NA,2,NA
1001,40,0,NSS,0,NSS
1002,11,0,NA,0,NA
1002,12,0,NA,0,NA
1002,13,0,NA,0,NA
1002,14,0,NA,0,NA
1002,15,0,NA,0,NA
1002,21,0,NA,0,NA
1002,22,0,NA,0,NA
1002,30,0,NA,0,NA
1002,40,0,NA,0,NA
1003,11,9,NSS,2,NA
1003,12,9,NSS,2,NA
1003,13,9,NSS,2,NA
1003,14,9,NSS,2,NA
1003,15,9,NSS,2,NA
1003,21,9,NSS,2,NA
1003,22,9,NSS,2,NA
1003,30,9,NSS,2,NA
1003,40,0,NSS,0,NSS
1004,11,0,NA,0,NA
1004,12,0,NA,0,NA
1004,13,0,NA,0,NA
1004,14,0,NA,0,NA
1004,15,0,NA,0,NA
1004,21,0,NA,0,NA
1004,22,0,NA,0,NA
1004,30,0,NA,0,NA
1004,40,0,NA,0,NA
1005,11,1,29,1,25
1005,12,2,NA,2,NA
1005,13,2,NA,2,NA
1005,14,2,NA,2,NA
1005,15,2,NA,2,NA
1005,21,2,NA,2,NA
1005,22,2,NA,2,NA
1005,30,2,NA,2,NA
1005,40,0,0,0,0
1006,11,0,NA,0,NA
1006,12,0,NA,0,NA
1006,13,0,NA,0,NA
1006,14,0,NA,0,NA
1006,15,0,NA,0,NA
1006,21,0,NA,0,NA
1006,22,0,NA,0,NA
1006,30,0,NA,0,NA
1006,40,0,NA,0,NA
1007,11,2,NA,2,NA
1007,12,2,NA,2,NA
1007,13,2,NA,2,NA
1007,14,2,NA,2,NA
1007,15,2,NA,2,NA
1007,21,2,NA,2,NA
1007,22,2,NA,2,NA
1007,30,2,NA,2,NA
1007,40,0,0,0,0
1008,11,0,NA,1,1
1008,12,0,NA,2,NA
1008,13,0,NA,2,NA
1008,14,0,NA,2,NA
1008,15,0,NA,2,NA
1008,21,0,NA,2,NA
1008,22,0,NA,2,NA
1008,30,0,NA,2,NA
1008,40,0,NA,0,0
1009,11,0,NA,0,NA
1009,12,0,NA,0,NA
1009,13,0,NA,0,NA
1009,14,0,NA,0,NA
1009,15,0,NA,0,NA
1009,21,0,NA,0,NA
1009,22,0,NA,0,NA
1009,30,0,NA,0,NA
1009,40,0,NA,0,NA
1010,11,0,NA,0,NA
1010,12,0,NA,0,NA
1010,13,0,NA,0,NA
1010,14,0,NA,0,NA
1010,15,0,NA,0,NA
1010,21,0,NA,0,NA
1010,22,0,NA,0,NA
1010,30,0,NA,0,NA
1010,40,0,NA,0,NA
1011,11,1,23,1,11
1011,12,2,NA,2,NA
1011,13,2,NA,2,NA
1011,14,2,NA,2,NA
1011,15,2,NA,2,NA
1011,21,2,NA,2,NA
1011,22,2,NA,2,NA
1011,30,2,NA,2,NA
1011,40,0,0,0,0
2001,11,2,NA,2,NA
2001,12,2,NA,2,NA
2001,13,2,NA,2,NA
2001,14,2,NA,2,NA
2001,15,2,NA,2,NA
2001,21,2,NA,2,NA
2001,22,2,NA,2,NA
2001,30,2,NA,2,NA
2001,40,0,0,0,0
2002,11,0,NA,0,NA
2002,12,0,NA,0,NA
2002,13,0,NA,0,NA
2002,14,0,NA,0,NA
2002,15,0,NA,0,NA
2002,21,0,NA,0,NA
2002,22,0,NA,0,NA
2002,30,0,NA,0,NA
2002,40,0,NA,0,NA
2003,11,0,NA,0,NA
2003,12,0,NA,0,NA
2003,13,0,NA,0,NA
2003,14,0,NA,0,NA
2003,15,0,NA,0,NA
2003,21,0,NA,0,NA
2003,22,0,NA,0,NA
2003,30,0,NA,0,NA
2003,40,0,NA,0,NA
2004,11,1,57,1,44
2004,12,1,4,2,NA
2004,13,1,2,1,3
2004,14,2,NA,2,NA
2004,15,2,NA,2,NA
2004,21,1,3,1,7
2004,22,1,2,2,NA
2004,30,1,1,1,3
2004,40,0,1,0,0
2005,11,2,NA,1,10
2005,12,2,NA,2,NA
2005,13,2,NA,2,NA
2005,14,2,NA,2,NA
2005,15,2,NA,2,NA
2005,21,2,NA,2,NA
2005,22,2,NA,2,NA
2005,30,2,NA,2,NA
2005,40,0,0,0,0
2006,11,0,NA,0,NA
2006,12,0,NA,0,NA
2006,13,0,NA,0,NA
2006,14,0,NA,0,NA
2006,15,0,NA,0,NA
2006,21,0,NA,0,NA
2006,22,0,NA,0,NA
2006,30,0,NA,0,NA
2006,40,0,NA,0,NA
2007,11,0,NA,0,NA
2007,12,0,NA,0,NA
2007,13,0,NA,0,NA
2007,14,0,NA,0,NA
2007,15,0,NA,0,NA
2007,21,0,NA,0,NA
2007,22,0,NA,0,NA
2007,30,0,NA,0,NA
2007,40,0,NA,0,NA
3001,11,1,19,1,24
3001,12,2,NA,2,NA
3001,13,2,NA,2,NA
3001,14,2,NA,2,NA
3001,15,2,NA,2,NA
3001,21,2,NA,2,NA
3001,22,2,NA,2,NA
3001,30,2,NA,2,NA
3001,40,0,0,0,0
3002,11,0,NA,2,NA
3002,12,0,NA,2,NA
3002,13,0,NA,2,NA
3002,14,0,NA,2,NA
3002,15,0,NA,2,NA
3002,21,0,NA,2,NA
3002,22,0,NA,2,NA
3002,30,0,NA,2,NA
3002,40,0,NA,0,0
3003,11,1,240,1,95
3003,12,1,0,1,0
3003,13,9,NSS,9,NSS
3003,14,9,NSS,9,NSS
3003,15,9,NSS,9,NSS
3003,21,9,NSS,9,NSS
3003,22,9,NSS,9,NSS
3003,30,9,NSS,9,NSS
3003,40,0,0,0,0
3008,11,1,16,1,98
3008,12,1,0,1,0
3008,13,2,NA,2,NA
3008,14,2,NA,2,NA
3008,15,2,NA,2,NA
3008,21,2,NA,2,NA
3008,22,2,NA,2,NA
3008,30,2,NA,2,NA
3008,40,0,0,0,0
3009,11,0,NA,0,NA
3009,12,0,NA,0,NA
3009,13,0,NA,0,NA
3009,14,0,NA,0,NA
3009,15,0,NA,0,NA
3009,21,0,NA,0,NA
3009,22,0,NA,0,NA
3009,30,0,NA,0,NA
3009,40,0,NA,0,NA
4001,11,0,NA,0,NA
4001,12,0,NA,0,NA
4001,13,0,NA,0,NA
4001,14,0,NA,0,NA
4001,15,0,NA,0,NA
4001,21,0,NA,0,NA
4001,22,0,NA,0,NA
4001,30,0,NA,0,NA
4001,40,0,NA,0,NA
4002,11,0,NA,0,NA
4002,12,0,NA,0,NA
4002,13,0,NA,0,NA
4002,14,0,NA,0,NA
4002,15,0,NA,0,NA
4002,21,0,NA,0,NA
4002,22,0,NA,0,NA
4002,30,0,NA,0,NA
4002,40,0,NA,0,NA
4003,11,2,NA,2,NA
4003,12,2,NA,2,NA
4003,13,2,NA,2,NA
4003,14,2,NA,2,NA
4003,15,2,NA,2,NA
4003,21,1,1,1,1
4003,22,1,1,1,1
4003,30,1,0,2,NA
4003,40,0,0,0,0
4004,11,0,NA,0,NA
4004,12,0,NA,0,NA
4004,13,0,NA,0,NA
4004,14,0,NA,0,NA
4004,15,0,NA,0,NA
4004,21,0,NA,0,NA
4004,22,0,NA,0,NA
4004,30,0,NA,0,NA
4004,40,0,NA,0,NA
4005,11,0,NA,0,NA
4005,12,0,NA,0,NA
4005,13,0,NA,0,NA
4005,14,0,NA,0,NA
4005,15,0,NA,0,NA
4005,21,0,NA,0,NA
4005,22,0,NA,0,NA
4005,30,0,NA,0,NA
4005,40,0,NA,0,NA
4006,11,0,NA,0,NA
4006,12,0,NA,0,NA
4006,13,0,NA,0,NA
4006,14,0,NA,0,NA
4006,15,0,NA,0,NA
4006,21,0,NA,0,NA
4006,22,0,NA,0,NA
4006,30,0,NA,0,NA
4006,40,0,NA,0,NA
4007,11,0,NA,0,NA
4007,12,0,NA,0,NA
4007,13,0,NA,0,NA
4007,14,0,NA,0,NA
4007,15,0,NA,0,NA
4007,21,0,NA,0,NA
4007,22,0,NA,0,NA
4007,30,0,NA,0,NA
4007,40,0,NA,0,NA
4008,11,0,NA,0,NA
4008,12,0,NA,0,NA
4008,13,0,NA,0,NA
4008,14,0,NA,0,NA
4008,15,0,NA,0,NA
4008,21,0,NA,0,NA
4008,22,0,NA,0,NA
4008,30,0,NA,0,NA
4008,40,0,NA,0,NA
4009,11,0,NA,0,NA
4009,12,0,NA,0,NA
4009,13,0,NA,0,NA
4009,14,0,NA,0,NA
4009,15,0,NA,0,NA
4009,21,0,NA,0,NA
4009,22,0,NA,0,NA
4009,30,0,NA,0,NA
4009,40,0,NA,0,NA
4010,11,0,NA,0,NA
4010,12,0,NA,0,NA
4010,13,0,NA,0,NA
4010,14,0,NA,0,NA
4010,15,0,NA,0,NA
4010,21,0,NA,0,NA
4010,22,0,NA,0,NA
4010,30,0,NA,0,NA
4010,40,0,NA,0,NA
4011,11,0,NA,0,NA
4011,12,0,NA,0,NA
4011,13,0,NA,0,NA
4011,14,0,NA,0,NA
4011,15,0,NA,0,NA
4011,21,0,NA,0,NA
4011,22,0,NA,0,NA
4011,30,0,NA,0,NA
4011,40,0,NA,0,NA
4012,11,0,NA,0,NA
4012,12,0,NA,0,NA
4012,13,0,NA,0,NA
4012,14,0,NA,0,NA
4012,15,0,NA,0,NA
4012,21,0,NA,0,NA
4012,22,0,NA,0,NA
4012,30,0,NA,0,NA
4012,40,0,NA,0,NA
4013,11,0,NA,0,NA
4013,12,0,NA,0,NA
4013,13,0,NA,0,NA
4013,14,0,NA,0,NA
4013,15,0,NA,0,NA
4013,21,0,NA,0,NA
4013,22,0,NA,0,NA
4013,30,0,NA,0,NA
4013,40,0,NA,0,NA
5001,11,0,NA,0,NA
5001,12,0,NA,0,NA
5001,13,0,NA,0,NA
5001,14,0,NA,0,NA
5001,15,0,NA,0,NA
5001,21,0,NA,0,NA
5001,22,0,NA,0,NA
5001,30,0,NA,0,NA
5001,40,0,NA,0,NA
5002,11,2,NA,2,NA
5002,12,2,NA,2,NA
5002,13,2,NA,2,NA
5002,14,2,NA,2,NA
5002,15,2,NA,2,NA
5002,21,2,NA,2,NA
5002,22,2,NA,2,NA
5002,30,2,NA,2,NA
5002,40,0,0,0,0
5003,11,0,NA,0,NA
5003,12,0,NA,0,NA
5003,13,0,NA,0,NA
5003,14,0,NA,0,NA
5003,15,0,NA,0,NA
5003,21,0,NA,0,NA
5003,22,0,NA,0,NA
5003,30,0,NA,0,NA
5003,40,0,NA,0,NA
5004,11,0,NA,0,NA
5004,12,0,NA,0,NA
5004,13,0,NA,0,NA
5004,14,0,NA,0,NA
5004,15,0,NA,0,NA
5004,21,0,NA,0,NA
5004,22,0,NA,0,NA
5004,30,0,NA,0,NA
5004,40,0,NA,0,NA
5005,11,0,NA,0,NA
5005,12,0,NA,0,NA
5005,13,0,NA,0,NA
5005,14,0,NA,0,NA
5005,15,0,NA,0,NA
5005,21,0,NA,0,NA
5005,22,0,NA,0,NA
5005,30,0,NA,0,NA
5005,40,0,NA,0,NA
5006,11,0,NA,0,NA
5006,12,0,NA,0,NA
5006,13,0,NA,0,NA
5006,14,0,NA,0,NA
5006,15,0,NA,0,NA
5006,21,0,NA,0,NA
5006,22,0,NA,0,NA
5006,30,0,NA,0,NA
5006,40,0,NA,0,NA
5007,11,1,0,1,0
5007,12,2,NA,2,NA
5007,13,2,NA,2,NA
5007,14,2,NA,2,NA
5007,15,2,NA,2,NA
5007,21,2,NA,2,NA
5007,22,1,0,1,0
5007,30,2,NA,2,NA
5007,40,0,0,0,0
5008,11,0,NA,0,NA
5008,12,0,NA,0,NA
5008,13,0,NA,0,NA
5008,14,0,NA,0,NA
5008,15,0,NA,0,NA
5008,21,0,NA,0,NA
5008,22,0,NA,0,NA
5008,30,0,NA,0,NA
5008,40,0,NA,0,NA
5009,11,0,NA,0,NA
5009,12,0,NA,0,NA
5009,13,0,NA,0,NA
5009,14,0,NA,0,NA
5009,15,0,NA,0,NA
5009,21,0,NA,0,NA
5009,22,0,NA,0,NA
5009,30,0,NA,0,NA
5009,40,0,NA,0,NA
5010,11,0,NA,0,NA
5010,12,0,NA,0,NA
5010,13,0,NA,0,NA
5010,14,0,NA,0,NA
5010,15,0,NA,0,NA
5010,21,0,NA,0,NA
5010,22,0,NA,0,NA
5010,30,0,NA,0,NA
5010,40,0,NA,0,NA
5011,11,0,NA,1,2
5011,12,0,NA,1,0
5011,13,0,NA,2,NA
5011,14,0,NA,2,NA
5011,15,0,NA,2,NA
5011,21,0,NA,1,0
5011,22,0,NA,1,0
5011,30,0,NA,2,NA
5011,40,0,NA,0,0
5012,11,0,NA,0,NA
5012,12,0,NA,0,NA
5012,13,0,NA,0,NA
5012,14,0,NA,0,NA
5012,15,0,NA,0,NA
5012,21,0,NA,0,NA
5012,22,0,NA,0,NA
5012,30,0,NA,0,NA
5012,40,0,NA,0,NA
5013,11,0,NA,0,NA
5013,12,0,NA,0,NA
5013,13,0,NA,0,NA
5013,14,0,NA,0,NA
5013,15,0,NA,0,NA
5013,21,0,NA,0,NA
5013,22,0,NA,0,NA
5013,30,0,NA,0,NA
5013,40,0,NA,0,NA
5014,11,1,0,1,0
5014,12,2,NA,2,NA
5014,13,2,NA,2,NA
5014,14,2,NA,2,NA
5014,15,2,NA,2,NA
5014,21,2,NA,2,NA
5014,22,2,NA,2,NA
5014,30,2,NA,2,NA
5014,40,0,0,0,0
5015,11,0,NA,0,NA
5015,12,0,NA,0,NA
5015,13,0,NA,0,NA
5015,14,0,NA,0,NA
5015,15,0,NA,0,NA
5015,21,0,NA,0,NA
5015,22,0,NA,0,NA
5015,30,0,NA,0,NA
5015,40,0,NA,0,NA
5016,11,0,NA,0,NA
5016,12,0,NA,0,NA
5016,13,0,NA,0,NA
5016,14,0,NA,0,NA
5016,15,0,NA,0,NA
5016,21,0,NA,0,NA
5016,22,0,NA,0,NA
5016,30,0,NA,0,NA
5016,40,0,NA,0,NA
5017,11,0,NA,1,0
5017,12,0,NA,2,NA
5017,13,0,NA,2,NA
5017,14,0,NA,2,NA
5017,15,0,NA,2,NA
5017,21,0,NA,2,NA
5017,22,0,NA,2,NA
5017,30,0,NA,2,NA
5017,40,0,NA,0,0
5018,11,0,NA,0,NA
5018,12,0,NA,0,NA
5018,13,0,NA,0,NA
5018,14,0,NA,0,NA
5018,15,0,NA,0,NA
5018,21,0,NA,0,NA
5018,22,0,NA,0,NA
5018,30,0,NA,0,NA
5018,40,0,NA,0,NA
5019,11,0,NA,0,NA
5019,12,0,NA,0,NA
5019,13,0,NA,0,NA
5019,14,0,NA,0,NA
5019,15,0,NA,0,NA
5019,21,0,NA,0,NA
5019,22,0,NA,0,NA
5019,30,0,NA,0,NA
5019,40,0,NA,0,NA
5020,11,0,NA,0,NA
5020,12,0,NA,0,NA
5020,13,0,NA,0,NA
5020,14,0,NA,0,NA
5020,15,0,NA,0,NA
5020,21,0,NA,0,NA
5020,22,0,NA,0,NA
5020,30,0,NA,0,NA
5020,40,0,NA,0,NA
5021,11,0,NA,0,NA
5021,12,0,NA,0,NA
5021,13,0,NA,0,NA
5021,14,0,NA,0,NA
5021,15,0,NA,0,NA
5021,21,0,NA,0,NA
5021,22,0,NA,0,NA
5021,30,0,NA,0,NA
5021,40,0,NA,0,NA
5022,11,0,NA,0,NA
5022,12,0,NA,0,NA
5022,13,0,NA,0,NA
5022,14,0,NA,0,NA
5022,15,0,NA,0,NA
5022,21,0,NA,0,NA
5022,22,0,NA,0,NA
5022,30,0,NA,0,NA
5022,40,0,NA,0,NA
5023,11,0,NA,0,NA
5023,12,0,NA,0,NA
5023,13,0,NA,0,NA
5023,14,0,NA,0,NA
5023,15,0,NA,0,NA
5023,21,0,NA,0,NA
5023,22,0,NA,0,NA
5023,30,0,NA,0,NA
5023,40,0,NA,0,NA
5024,11,0,NA,0,NA
5024,12,0,NA,0,NA
5024,13,0,NA,0,NA
5024,14,0,NA,0,NA
5024,15,0,NA,0,NA
5024,21,0,NA,0,NA
5024,22,0,NA,0,NA
5024,30,0,NA,0,NA
5024,40,0,NA,0,NA
5025,11,0,NA,1,24
5025,12,0,NA,1,0
5025,13,0,NA,1,0
5025,14,0,NA,1,0
5025,15,0,NA,1,0
5025,21,0,NA,1,0
5025,22,0,NA,1,0
5025,30,0,NA,1,0
5025,40,0,NA,0,0
5026,11,0,NA,0,NA
5026,12,0,NA,0,NA
5026,13,0,NA,0,NA
5026,14,0,NA,0,NA
5026,15,0,NA,0,NA
5026,21,0,NA,0,NA
5026,22,0,NA,0,NA
5026,30,0,NA,0,NA
5026,40,0,NA,0,NA
5027,11,9,NSS,9,NSS
5027,12,9,NSS,9,NSS
5027,13,9,NSS,9,NSS
5027,14,9,NSS,9,NSS
5027,15,9,NSS,9,NSS
5027,21,9,NSS,9,NSS
5027,22,9,NSS,9,NSS
5027,30,9,NSS,9,NSS
5027,40,0,20,0,23
5028,11,0,NA,2,NA
5028,12,0,NA,2,NA
5028,13,0,NA,2,NA
5028,14,0,NA,2,NA
5028,15,0,NA,2,NA
5028,21,0,NA,2,NA
5028,22,0,NA,2,NA
5028,30,0,NA,2,NA
5028,40,0,NA,0,0
5029,11,0,NA,0,NA
5029,12,0,NA,0,NA
5029,13,0,NA,0,NA
5029,14,0,NA,0,NA
5029,15,0,NA,0,NA
5029,21,0,NA,0,NA
5029,22,0,NA,0,NA
5029,30,0,NA,0,NA
5029,40,0,NA,0,NA
5030,11,1,33,1,64
5030,12,1,4,1,18
