ubicageo_f,sexostt,sexos1,sexos2
1001,1349,1038,311
1002,55,40,15
1003,52,41,11
1004,28,16,12
1005,167,120,47
1006,52,23,29
1007,60,45,15
1008,26,14,12
1009,22,17,5
1010,44,31,13
1011,60,30,30
2001,528,426,102
2002,1794,1309,485
2003,136,107,29
2004,1811,1519,292
2005,175,160,15
2006,67,61,6
2007,45,29,16
3001,246,196,50
3002,52,36,16
3003,624,464,160
3008,482,355,127
3009,36,29,7
4001,44,44,0
4002,0,0,0
4003,246,208,38
4004,70,67,3
4005,64,61,3
4006,37,37,0
4007,37,32,5
4008,40,39,1
4009,54,53,1
4010,0,0,0
4011,26,26,0
4012,NA,NA,NA
4013,NA,NA,NA
5001,3,3,0
5002,111,70,41
5003,0,0,0
5004,48,36,12
5005,3,2,1
5006,15,13,2
5007,9,6,3
5008,NA,NA,NA
5009,69,50,19
5010,70,58,12
5011,12,7,5
5012,NA,NA,NA
5013,NA,NA,NA
5014,12,10,2
5015,NA,NA,NA
5016,5,5,0
5017,80,60,20
5018,171,121,50
5019,5,3,2
5020,42,29,13
5021,6,5,1
5022,16,13,3
5023,8,7,1
5024,41,33,8
5025,71,50,21
5026,NA,NA,NA
5027,146,100,46
5028,40,28,12
5029,3,3,0
5030,1060,759,301
5031,13,12,1
5032,28,25,3
5033,70,52,18
5034,12,11,1
5035,585,399,186
5036,17,15,2
5037,4,2,2
5038,7,5,2
6001,60,42,18
6002,146,94,52
6003,27,22,5
6004,46,39,7
6005,51,43,8
6006,23,17,6
6007,336,234,102
6008,14,11,3
6009,153,126,27
6010,176,114,62
7001,0,0,0
7002,0,0,0
7003,43,37,6
7004,0,0,0
7005,0,0,0
7006,0,0,0
7007,0,0,0
7008,0,0,0
7009,0,0,0
7010,0,0,0
7011,0,0,0
7012,0,0,0
7013,0,0,0
7014,0,0,0
7015,92,70,22
7016,0,0,0
7017,0,0,0
7018,3,3,0
7019,79,66,13
7020,0,0,0
7021,0,0,0
7022,0,0,0
7023,0,0,0
7024,0,0,0
7025,0,0,0
7026,0,0,0
7027,0,0,0
7028,17,13,4
7029,0,0,0
7030,0,0,0
7031,64,56,8
7032,43,37,6
7033,0,0,0
7034,0,0,0
7035,0,0,0
7036,0,0,0
7037,57,44,13
7038,0,0,0
7039,0,0,0
7040,0,0,0
7041,0,0,0
7042,0,0,0
7043,0,0,0
7044,34,34,0
7045,0,0,0
7046,1,1,0
7047,0,0,0
7048,3,3,0
7049,0,0,0
7050,2,2,0
7051,0,0,0
7052,172,135,37
7053,0,0,0
7054,0,0,0
7055,0,0,0
7056,0,0,0
7057,0,0,0
7058,0,0,0
7059,147,114,33
7060,0,0,0
7061,0,0,0
7062,14,12,2
7063,0,0,0
7064,0,0,0
7065,62,62,0
7066,0,0,0
7067,0,0,0
7068,50,36,14
7069,17,11,6
7070,0,0,0
7071,0,0,0
7072,0,0,0
7073,0,0,0
7074,0,0,0
7075,6,6,0
7076,5,5,0
7077,17,13,4
7078,252,195,57
7079,3,3,0
7080,0,0,0
7081,0,0,0
7082,0,0,0
7083,0,0,0
7084,0,0,0
7085,0,0,0
7086,0,0,0
7087,15,9,6
7088,2,2,0
7089,369,293,76
7090,6,4,2
7091,0,0,0
7092,0,0,0
7093,0,0,0
7094,0,0,0
7096,0,0,0
7097,5,2,3
7098,0,0,0
7099,20,16,4
7100,23,20,3
7101,952,733,219
7102,16,10,6
7103,0,0,0
7104,0,0,0
7105,0,0,0
7106,0,0,0
7107,6,6,0
7108,107,77,30
7109,0,0,0
7110,0,0,0
7111,3,3,0
7112,0,0,0
7113,0,0,0
7114,3,2,1
7115,0,0,0
7116,0,0,0
7117,0,0,0
7118,0,0,0
7119,0,0,0
7120,0,0,0
7121,0,0,0
7122,10,8,2
7123,5,5,0
7124,0,0,0
7125,0,0,0
8001,23,21,2
8002,26,20,6
8003,9,8,1
8004,25,14,11
8005,10,8,2
8006,0,0,0
8007,10,9,1
8008,6,6,0
8009,0,0,0
8010,30,29,1
8011,64,56,8
8012,12,10,2
8013,0,0,0
8014,0,0,0
8015,0,0,0
8016,14,14,0
8017,104,82,22
8018,15,12,3
8019,772,613,159
8020,0,0,0
8021,188,140,48
8022,5,5,0
8023,0,0,0
8024,10,9,1
8025,0,0,0
8026,7,7,0
8027,59,46,13
8028,0,0,0
8029,20,18,2
8030,15,13,2
8031,15,12,3
8032,114,102,12
8033,1,1,0
8034,0,0,0
8035,6,6,0
8036,22,21,1
8037,2869,2022,847
8038,10,8,2
8039,7,7,0
8040,0,0,0
8041,0,0,0
8042,0,0,0
8043,5,4,1
8044,0,0,0
8045,96,79,17
8046,6,6,0
8047,0,0,0
8048,15,14,1
8049,1,1,0
8050,90,55,35
8051,8,7,1
8052,16,14,2
8053,0,0,0
8054,5,5,0
8055,26,20,6
8056,0,0,0
8057,6,5,1
8058,0,0,0
8059,10,5,5
8060,25,19,6
8061,0,0,0
8062,42,41,1
8063,0,0,0
8064,6,6,0
8065,0,0,0
8066,4,4,0
8067,5,5,0
9002,NA,NA,NA
9003,NA,NA,NA
9004,NA,NA,NA
9005,NA,NA,NA
9006,NA,NA,NA
9007,NA,NA,NA
9008,NA,NA,NA
9009,NA,NA,NA
9010,NA,NA,NA
9011,NA,NA,NA
9012,NA,NA,NA
9013,NA,NA,NA
9014,NA,NA,NA
9015,NA,NA,NA
9016,NA,NA,NA
9017,NA,NA,NA
10001,6,4,2
10002,4,4,0
10003,6,6,0
10004,3,3,0
10005,1111,807,304
10006,5,4,1
10007,229,146,83
10008,10,9,1
10009,0,0,0
10010,2,2,0
10011,3,3,0
10012,86,54,32
10013,14,9,5
10014,10,9,1
10015,2,1,1
10016,33,26,7
10017,2,2,0
10018,4,4,0
10019,0,0,0
10020,2,2,0
10021,0,0,0
10022,15,14,1
10023,69,52,17
10024,7,7,0
10025,2,2,0
10026,26,23,3
10027,0,0,0
10028,12,11,1
10029,1,1,0
10030,1,1,0
10031,2,2,0
10032,38,30,8
10033,2,2,0
10034,26,22,4
10035,1,1,0
10036,4,3,1
10037,1,1,0
10038,3,2,1
10039,7,7,0
11001,3,3,0
11002,38,38,0
11003,270,156,114
11004,33,28,5
11005,77,54,23
11006,11,10,1
11007,373,240,133
11008,NSS,NSS,NSS
11009,23,9,14
11010,0,0,0
11011,6,4,2
11012,36,28,8
11013,45,28,17
11014,169,127,42
11015,229,138,91
11016,27,22,5
11017,711,505,206
11018,72,55,17
11019,16,13,3
11020,1481,1053,428
11021,108,95,13
11022,0,0,0
11023,204,171,33
11024,2,2,0
11025,78,61,17
11026,16,13,3
11027,72,48,24
11028,123,87,36
11029,32,28,4
11030,129,101,28
11031,104,83,21
11032,42,30,12
11033,86,49,37
11034,0,0,0
11035,0,0,0
11036,6,3,3
11037,215,149,66
11038,NSS,NSS,NSS
11039,NSS,NSS,NSS
11040,0,0,0
11041,124,97,27
11042,118,101,17
11043,10,10,0
11044,41,32,9
11045,16,14,2
11046,51,35,16
12001,167,119,48
12002,5,5,0
12003,0,0,0
12004,0,0,0
12005,0,0,0
12006,0,0,0
12007,0,0,0
12008,0,0,0
12009,1,1,0
12010,8,8,0
12011,35,33,2
12012,0,0,0
12013,1,1,0
12014,30,30,0
12015,27,23,4
12016,2,2,0
12017,0,0,0
12018,7,7,0
12019,4,4,0
12020,0,0,0
12021,18,17,1
12022,10,8,2
12023,0,0,0
12024,14,12,2
12025,4,4,0
12026,0,0,0
12027,5,3,2
12028,75,55,20
12029,90,58,32
12030,1,1,0
12031,0,0,0
12032,5,4,1
12033,0,0,0
12034,20,20,0
12035,54,44,10
12036,0,0,0
12037,0,0,0
12038,56,51,5
12039,3,1,2
12040,5,5,0
12041,0,0,0
12042,0,0,0
12043,0,0,0
12044,0,0,0
12045,0,0,0
12046,47,44,3
12047,0,0,0
12048,57,50,7
12049,1,1,0
12050,14,13,1
12051,5,5,0
12052,20,20,0
12053,19,17,2
12054,2,2,0
12055,13,10,3
12056,28,28,0
12057,1,0,1
12058,14,12,2
12059,8,8,0
12060,0,0,0
12061,1,1,0
12062,0,0,0
12063,0,0,0
12064,8,8,0
12065,15,11,4
12066,0,0,0
12067,0,0,0
12068,4,3,1
12069,1,1,0
12070,0,0,0
12071,1,1,0
12072,0,0,0
12073,0,0,0
12074,0,0,0
12075,15,14,1
12076,29,27,2
12077,6,6,0
12078,0,0,0
12079,0,0,0
12080,0,0,0
12081,6,4,2
12082,NA,NA,NA
12083,NA,NA,NA
12084,NA,NA,NA
12085,NA,NA,NA
13001,15,12,3
13002,49,39,10
13003,19,17,2
13004,9,7,2
13005,21,17,4
13006,7,6,1
13007,20,17,3
13008,18,17,1
13009,1,1,0
13010,20,20,0
13011,7,7,0
13012,14,13,1
13013,20,13,7
13014,2,2,0
13015,10,8,2
13016,47,37,10
13017,15,11,4
13018,12,10,2
13019,5,4,1
13020,0,0,0
13021,19,13,6
13022,3,3,0
13023,12,9,3
13024,1,1,0
13025,7,7,0
13026,24,22,2
13027,21,19,2
13028,139,126,13
13029,12,7,5
13030,50,36,14
13031,8,7,1
13032,10,8,2
13033,12,9,3
13034,2,1,1
13035,3,2,1
13036,12,9,3
13037,13,9,4
13038,2,2,0
13039,3,3,0
13040,5,5,0
13041,2,2,0
13042,5,5,0
13043,9,9,0
13044,23,20,3
13045,7,4,3
13046,14,13,1
13047,16,13,3
13048,344,275,69
13049,18,15,3
13050,20,17,3
13051,127,103,24
13052,8,7,1
13053,5,5,0
13054,0,0,0
13055,9,7,2
13056,19,12,7
13057,16,12,4
13058,3,3,0
13059,26,22,4
13060,4,4,0
13061,67,50,17
13062,14,13,1
13063,90,69,21
13064,7,6,1
13065,5,4,1
13066,3,3,0
13067,6,4,2
13068,12,12,0
13069,66,52,14
13070,15,12,3
13071,5,4,1
13072,5,2,3
13073,10,9,1
13074,4,3,1
13075,6,5,1
13076,136,103,33
13077,178,144,34
13078,1,1,0
13079,4,3,1
13080,12,7,5
13081,18,15,3
13082,14,11,3
13083,21,17,4
13084,17,11,6
14001,9,9,0
14002,9,7,2
14003,7,4,3
14004,2,1,1
14005,10,6,4
14006,75,64,11
14007,7,4,3
14008,34,21,13
14009,11,9,2
14010,3,1,2
14011,10,8,2
14012,12,5,7
14013,44,33,11
14014,9,5,4
14015,123,95,28
14016,42,40,2
14017,19,13,6
14018,44,34,10
14019,13,13,0
14020,13,10,3
14021,25,22,3
14022,55,44,11
14023,177,131,46
14024,8,5,3
14025,14,12,2
14026,0,0,0
14027,17,15,2
14028,8,7,1
14029,4,1,3
14030,99,75,24
14031,6,6,0
14032,3,3,0
14033,25,22,3
14034,4,4,0
14035,47,42,5
14036,11,10,1
14037,59,42,17
14038,7,6,1
14039,2577,2302,275
14040,10,9,1
14041,4,4,0
14042,2,1,1
14043,14,8,6
14044,41,30,11
14045,9,6,3
14046,43,34,9
14047,38,28,10
14048,20,13,7
14049,11,10,1
14050,10,7,3
14051,34,22,12
14052,8,6,2
14053,156,90,66
14054,3,3,0
14055,19,14,5
14056,0,0,0
14057,1,1,0
14058,10,8,2
14059,5,2,3
14060,0,0,0
14061,1,1,0
14062,9,6,3
14063,127,77,50
14064,21,13,8
14065,14,12,2
14066,29,24,5
14067,NSS,NSS,NSS
14068,13,12,1
14069,3,2,1
14070,182,135,47
14071,7,7,0
14072,11,10,1
14073,126,94,32
14074,9,7,2
14075,11,8,3
14076,8,6,2
14077,16,13,3
14078,2,1,1
14079,28,25,3
14080,4,4,0
14081,12,10,2
14082,31,20,11
14083,47,34,13
14084,21,15,6
14085,22,18,4
14086,0,0,0
14087,23,19,4
14088,21,18,3
14089,1,1,0
14090,9,7,2
14091,29,27,2
14092,2,1,1
14093,88,58,30
14094,25,20,5
14095,6,5,1
14096,19,16,3
14097,793,576,217
14098,792,565,227
14099,1,1,0
14100,20,18,2
14101,482,343,139
14102,1,1,0
14103,12,11,1
14104,4,2,2
14105,8,6,2
14106,0,0,0
14107,3,2,1
14108,45,36,9
14109,8,2,6
14110,10,9,1
14111,17,14,3
14112,7,4,3
14113,20,12,8
14114,6,5,1
14115,0,0,0
14116,35,33,2
14117,9,7,2
14118,5,3,2
14119,16,16,0
14120,2434,2000,434
14121,18,13,5
14122,8,7,1
14123,0,0,0
14124,66,55,11
14125,24,14,10
15001,69,55,14
15002,208,154,54
15003,45,40,5
15004,4,4,0
15005,153,101,52
15006,20,12,8
15007,5,5,0
15008,33,29,4
15009,99,72,27
15010,14,10,4
15011,64,52,12
15012,15,8,7
15013,1159,885,274
15014,92,78,14
15015,49,33,16
15016,32,18,14
15017,18,14,4
15018,38,34,4
15019,24,19,5
15020,313,268,45
15021,52,42,10
15022,35,28,7
15023,48,40,8
15024,311,270,41
15025,327,265,62
15026,26,26,0
15027,8,6,2
15028,44,34,10
15029,247,207,40
15030,59,38,21
15031,304,175,129
15032,9,9,0
15033,291,192,99
15034,24,18,6
15035,165,118,47
15036,45,39,6
