ubicageo_f,esquprof_b,sexostt,sexos1,sexos2
1001,11,1200,930,270
1001,12,0,0,0
1001,13,0,0,0
1001,21,0,0,0
1001,22,0,0,0
1001,23,0,0,0
1001,31,0,0,0
1001,32,0,0,0
1001,33,0,0,0
1001,34,0,0,0
1001,35,0,0,0
1001,40,0,0,0
1002,11,55,40,15
1002,12,0,0,0
1002,13,0,0,0
1002,21,0,0,0
1002,22,0,0,0
1002,23,0,0,0
1002,31,0,0,0
1002,32,0,0,0
1002,33,0,0,0
1002,34,0,0,0
1002,35,0,0,0
1002,40,0,0,0
1003,11,52,41,11
1003,12,0,0,0
1003,13,0,0,0
1003,21,0,0,0
1003,22,0,0,0
1003,23,0,0,0
1003,31,0,0,0
1003,32,0,0,0
1003,33,0,0,0
1003,34,0,0,0
1003,35,0,0,0
1003,40,0,0,0
1004,11,30,18,12
1004,12,0,0,0
1004,13,0,0,0
1004,21,0,0,0
1004,22,0,0,0
1004,23,0,0,0
1004,31,0,0,0
1004,32,0,0,0
1004,33,0,0,0
1004,34,0,0,0
1004,35,0,0,0
1004,40,0,0,0
1005,11,167,120,47
1005,12,0,0,0
1005,13,0,0,0
1005,21,0,0,0
1005,22,0,0,0
1005,23,0,0,0
1005,31,0,0,0
1005,32,0,0,0
1005,33,0,0,0
1005,34,0,0,0
1005,35,0,0,0
1005,40,0,0,0
1006,11,55,25,30
1006,12,0,0,0
1006,13,0,0,0
1006,21,0,0,0
1006,22,0,0,0
1006,23,0,0,0
1006,31,0,0,0
1006,32,0,0,0
1006,33,0,0,0
1006,34,0,0,0
1006,35,0,0,0
1006,40,0,0,0
1007,11,2,0,2
1007,12,0,0,0
1007,13,0,0,0
1007,21,0,0,0
1007,22,0,0,0
1007,23,0,0,0
1007,31,0,0,0
1007,32,0,0,0
1007,33,0,0,0
1007,34,0,0,0
1007,35,0,0,0
1007,40,0,0,0
1008,11,26,14,12
1008,12,0,0,0
1008,13,0,0,0
1008,21,0,0,0
1008,22,0,0,0
1008,23,0,0,0
1008,31,0,0,0
1008,32,0,0,0
1008,33,0,0,0
1008,34,0,0,0
1008,35,0,0,0
1008,40,0,0,0
1009,11,22,17,5
1009,12,0,0,0
1009,13,0,0,0
1009,21,0,0,0
1009,22,0,0,0
1009,23,0,0,0
1009,31,0,0,0
1009,32,0,0,0
1009,33,0,0,0
1009,34,0,0,0
1009,35,0,0,0
1009,40,0,0,0
1010,11,44,31,13
1010,12,0,0,0
1010,13,0,0,0
1010,21,0,0,0
1010,22,0,0,0
1010,23,0,0,0
1010,31,0,0,0
1010,32,0,0,0
1010,33,0,0,0
1010,34,0,0,0
1010,35,0,0,0
1010,40,0,0,0
1011,11,60,30,30
1011,12,0,0,0
1011,13,0,0,0
1011,21,0,0,0
1011,22,0,0,0
1011,23,0,0,0
1011,31,0,0,0
1011,32,0,0,0
1011,33,0,0,0
1011,34,0,0,0
1011,35,0,0,0
1011,40,0,0,0
2001,11,809,618,191
2001,12,NSS,NSS,NSS
2001,13,NSS,NSS,NSS
2001,21,NSS,NSS,NSS
2001,22,NSS,NSS,NSS
2001,23,NSS,NSS,NSS
2001,31,NSS,NSS,NSS
2001,32,NSS,NSS,NSS
2001,33,NSS,NSS,NSS
2001,34,NSS,NSS,NSS
2001,35,NSS,NSS,NSS
2001,40,NSS,NSS,NSS
2002,11,79,42,37
2002,12,0,0,0
2002,13,0,0,0
2002,21,169,128,41
2002,22,0,0,0
2002,23,1577,1140,437
2002,31,0,0,0
2002,32,0,0,0
2002,33,0,0,0
2002,34,0,0,0
2002,35,0,0,0
2002,40,0,0,0
2003,11,1,1,0
2003,12,0,0,0
2003,13,0,0,0
2003,21,0,0,0
2003,22,0,0,0
2003,23,136,107,29
2003,31,0,0,0
2003,32,0,0,0
2003,33,0,0,0
2003,34,0,0,0
2003,35,0,0,0
2003,40,0,0,0
2004,11,0,0,0
2004,12,0,0,0
2004,13,0,0,0
2004,21,0,0,0
2004,22,22,15,7
2004,23,1245,1051,194
2004,31,0,0,0
2004,32,0,0,0
2004,33,0,0,0
2004,34,0,0,0
2004,35,0,0,0
2004,40,57,44,13
2005,11,171,154,17
2005,12,8,7,1
2005,13,9,8,1
2005,21,29,28,1
2005,22,3,3,0
2005,23,0,0,0
2005,31,0,0,0
2005,32,0,0,0
2005,33,0,0,0
2005,34,0,0,0
2005,35,0,0,0
2005,40,0,0,0
2006,11,69,62,7
2006,12,0,0,0
2006,13,0,0,0
2006,21,0,0,0
2006,22,0,0,0
2006,23,0,0,0
2006,31,0,0,0
2006,32,0,0,0
2006,33,0,0,0
2006,34,0,0,0
2006,35,0,0,0
2006,40,0,0,0
2007,11,45,29,16
2007,12,0,0,0
2007,13,0,0,0
2007,21,0,0,0
2007,22,0,0,0
2007,23,0,0,0
2007,31,0,0,0
2007,32,0,0,0
2007,33,0,0,0
2007,34,0,0,0
2007,35,0,0,0
2007,40,0,0,0
3001,11,0,0,0
3001,12,0,0,0
3001,13,0,0,0
3001,21,0,0,0
3001,22,0,0,0
3001,23,0,0,0
3001,31,0,0,0
3001,32,0,0,0
3001,33,0,0,0
3001,34,0,0,0
3001,35,0,0,0
3001,40,0,0,0
3002,11,132,102,30
3002,12,0,0,0
3002,13,0,0,0
3002,21,0,0,0
3002,22,0,0,0
3002,23,0,0,0
3002,31,0,0,0
3002,32,0,0,0
3002,33,0,0,0
3002,34,0,0,0
3002,35,0,0,0
3002,40,0,0,0
3003,11,739,533,206
3003,12,0,0,0
3003,13,0,0,0
3003,21,0,0,0
3003,22,0,0,0
3003,23,0,0,0
3003,31,0,0,0
3003,32,0,0,0
3003,33,0,0,0
3003,34,0,0,0
3003,35,0,0,0
3003,40,0,0,0
3008,11,402,303,99
3008,12,0,0,0
3008,13,0,0,0
3008,21,120,82,38
3008,22,0,0,0
3008,23,0,0,0
3008,31,0,0,0
3008,32,0,0,0
3008,33,0,0,0
3008,34,0,0,0
3008,35,0,0,0
3008,40,0,0,0
3009,11,88,65,23
3009,12,0,0,0
3009,13,0,0,0
3009,21,0,0,0
3009,22,0,0,0
3009,23,0,0,0
3009,31,0,0,0
3009,32,0,0,0
3009,33,0,0,0
3009,34,0,0,0
3009,35,0,0,0
3009,40,0,0,0
4001,11,0,0,0
4001,12,0,0,0
4001,13,0,0,0
4001,21,0,0,0
4001,22,0,0,0
4001,23,0,0,0
4001,31,0,0,0
4001,32,0,0,0
4001,33,0,0,0
4001,34,0,0,0
4001,35,0,0,0
4001,40,0,0,0
4002,11,0,0,0
4002,12,0,0,0
4002,13,0,0,0
4002,21,0,0,0
4002,22,0,0,0
4002,23,0,0,0
4002,31,0,0,0
4002,32,0,0,0
4002,33,0,0,0
4002,34,0,0,0
4002,35,0,0,0
4002,40,0,0,0
4003,11,45,30,15
4003,12,0,0,0
4003,13,0,0,0
4003,21,0,0,0
4003,22,0,0,0
4003,23,201,178,23
4003,31,0,0,0
4003,32,0,0,0
4003,33,0,0,0
4003,34,0,0,0
4003,35,0,0,0
4003,40,0,0,0
4004,11,0,0,0
4004,12,0,0,0
4004,13,0,0,0
4004,21,0,0,0
4004,22,0,0,0
4004,23,0,0,0
4004,31,0,0,0
4004,32,0,0,0
4004,33,0,0,0
4004,34,0,0,0
4004,35,0,0,0
4004,40,0,0,0
4005,11,64,61,3
4005,12,0,0,0
4005,13,0,0,0
4005,21,0,0,0
4005,22,0,0,0
4005,23,0,0,0
4005,31,0,0,0
4005,32,0,0,0
4005,33,0,0,0
4005,34,0,0,0
4005,35,0,0,0
4005,40,0,0,0
4006,11,37,37,0
4006,12,0,0,0
4006,13,0,0,0
4006,21,0,0,0
4006,22,0,0,0
4006,23,0,0,0
4006,31,0,0,0
4006,32,0,0,0
4006,33,0,0,0
4006,34,0,0,0
4006,35,0,0,0
4006,40,0,0,0
4007,11,37,32,5
4007,12,0,0,0
4007,13,0,0,0
4007,21,0,0,0
4007,22,0,0,0
4007,23,0,0,0
4007,31,0,0,0
4007,32,0,0,0
4007,33,0,0,0
4007,34,0,0,0
4007,35,0,0,0
4007,40,0,0,0
4008,11,0,0,0
4008,12,0,0,0
4008,13,0,0,0
4008,21,0,0,0
4008,22,0,0,0
4008,23,0,0,0
4008,31,0,0,0
4008,32,0,0,0
4008,33,0,0,0
4008,34,0,0,0
4008,35,0,0,0
4008,40,0,0,0
4009,11,54,53,1
4009,12,0,0,0
4009,13,0,0,0
4009,21,0,0,0
4009,22,0,0,0
4009,23,0,0,0
4009,31,0,0,0
4009,32,0,0,0
4009,33,0,0,0
4009,34,0,0,0
4009,35,0,0,0
4009,40,0,0,0
4010,11,0,0,0
4010,12,0,0,0
4010,13,0,0,0
4010,21,0,0,0
4010,22,0,0,0
4010,23,0,0,0
4010,31,0,0,0
4010,32,0,0,0
4010,33,0,0,0
4010,34,0,0,0
4010,35,0,0,0
4010,40,0,0,0
4011,11,0,0,0
4011,12,0,0,0
4011,13,0,0,0
4011,21,0,0,0
4011,22,0,0,0
4011,23,0,0,0
4011,31,0,0,0
4011,32,0,0,0
4011,33,0,0,0
4011,34,0,0,0
4011,35,0,0,0
4011,40,0,0,0
4012,11,NA,NA,NA
4012,12,NA,NA,NA
4012,13,NA,NA,NA
4012,21,NA,NA,NA
4012,22,NA,NA,NA
4012,23,NA,NA,NA
4012,31,NA,NA,NA
4012,32,NA,NA,NA
