ubicageo_f,evaluati_a,esevsett,esevse1,esevse2,esevses1,esevse3,esevse4,esevse5,esevses2,esevse6,esevse7,esevses3,esevse9,esevse10,esevses4,esevse12,esevse13,esevses5,esevse15,esevse16,esevses6,esevse18,esevse19,esevsens,esevsenh,esevsenm
1001,1,1349,1038,311,1142,866,276,,59,44,15,13,13,0,0,0,0,1,1,0,134,114,20,,,
1001,2,1349,1038,311,1238,949,289,,82,62,20,2,0,2,0,0,0,0,0,0,27,27,0,,,
1001,3,1349,1038,311,1344,1035,309,,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,
1002,1,59,44,15,55,40,15,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,,,
1002,2,59,44,15,55,40,15,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,,,
1002,3,59,44,15,55,40,15,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,,,
1003,1,52,41,11,52,41,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1003,2,52,41,11,52,41,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1003,3,52,41,11,52,41,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1004,1,30,18,12,28,16,12,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,,
1004,2,30,18,12,29,17,12,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
1004,3,30,18,12,30,18,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1005,1,167,120,47,167,120,47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1005,2,167,120,47,167,120,47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1005,3,167,120,47,167,120,47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1006,1,55,25,30,52,23,29,,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,,,
1006,2,55,25,30,54,24,30,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1006,3,55,25,30,55,25,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1007,1,66,49,17,62,45,17,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,,,
1007,2,66,49,17,63,46,17,,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,,
1007,3,66,49,17,66,49,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1008,1,26,14,12,26,14,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1008,2,26,14,12,26,14,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1008,3,26,14,12,26,14,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1009,1,22,17,5,22,17,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1009,2,22,17,5,22,17,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1009,3,22,17,5,22,17,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1010,1,44,31,13,44,31,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1010,2,44,31,13,44,31,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1010,3,44,31,13,44,31,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1011,1,60,30,30,60,30,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1011,2,60,30,30,60,30,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1011,3,60,30,30,60,30,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2001,1,809,618,191,320,225,95,,221,164,57,8,6,2,229,198,31,31,25,6,0,0,0,,,
2001,2,809,618,191,416,336,80,,68,60,8,19,11,8,214,127,87,92,84,8,0,0,0,,,
2001,3,809,618,191,321,232,89,,0,0,0,0,0,0,488,386,102,0,0,0,0,0,0,,,
2002,1,1832,1310,522,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1832,1310,522
2002,2,1832,1310,522,1776,1288,488,,0,0,0,22,10,12,16,7,9,0,0,0,18,5,13,,,
2002,3,1832,1310,522,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1832,1310,522
2003,1,222,173,49,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,222,173,49
2003,2,222,173,49,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,222,173,49
2003,3,222,173,49,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,222,173,49
2004,1,2453,2049,404,1459,1226,233,,847,715,132,0,0,0,85,66,19,19,10,9,43,32,11,,,
2004,2,2453,2049,404,550,450,100,,0,0,0,0,0,0,0,0,0,0,0,0,1903,1599,304,,,
2004,3,2453,2049,404,1484,1295,189,,0,0,0,0,0,0,799,609,190,0,0,0,170,145,25,,,
2005,1,200,182,18,152,138,14,,27,27,0,8,8,0,0,0,0,0,0,0,13,9,4,,,
2005,2,200,182,18,146,135,11,,25,23,2,3,3,0,0,0,0,0,0,0,26,21,5,,,
2005,3,200,182,18,159,147,12,,9,9,0,0,0,0,0,0,0,0,0,0,32,26,6,,,
2006,1,67,61,6,50,44,6,,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,,,
2006,2,67,61,6,50,44,6,,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,,,
2006,3,67,61,6,50,44,6,,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,,,
2007,1,45,29,16,45,29,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2007,2,45,29,16,45,29,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2007,3,45,29,16,45,29,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3001,1,246,196,50,236,192,44,,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,,,
3001,2,246,196,50,219,177,42,,27,19,8,0,0,0,0,0,0,0,0,0,0,0,0,,,
3001,3,246,196,50,240,190,50,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3002,1,137,106,31,49,38,11,,0,0,0,5,5,0,66,49,17,11,8,3,6,6,0,,,
