ubicageo_f,apalin1,apalin2,apalin3,apalin5,apalin6,apalin7
1001,30,30,0,250,250,0
1002,2,2,0,2,2,0
1003,3,3,0,1,0,1
1004,1,1,0,1,1,0
1005,10,10,0,14,14,0
1006,3,2,1,3,2,1
1007,2,1,1,6,5,1
1008,1,1,0,1,0,1
1009,2,1,1,2,1,1
1010,2,1,1,2,1,1
1011,2,2,0,7,7,0
2001,15,15,0,75,75,0
2002,164,164,0,349,349,0
2003,2,2,0,2,2,0
2004,15,15,0,170,170,0
2005,6,6,0,6,6,0
2006,8,8,0,8,8,0
2007,1,1,0,1,1,0
3001,0,0,0,0,0,0
3002,11,4,7,11,4,7
3003,10,7,3,44,41,3
3008,2,2,0,2,2,0
3009,2,1,1,2,1,1
4001,1,0,1,1,0,1
4002,0,0,0,0,0,0
4003,27,27,0,27,27,0
4004,0,0,0,0,0,0
4005,0,0,0,0,0,0
4006,0,0,0,0,0,0
4007,0,0,0,0,0,0
4008,0,0,0,0,0,0
4009,0,0,0,0,0,0
4010,0,0,0,0,0,0
4011,1,1,0,1,1,0
4012,NA,NA,NA,NA,NA,NA
4013,NA,NA,NA,NA,NA,NA
5001,3,1,2,1,1,0
5002,2,2,0,2,2,0
5003,2,1,1,2,1,1
5004,1,1,0,2,2,0
5005,1,1,0,1,1,0
5006,1,1,0,2,1,1
5007,2,2,0,1,1,0
5008,NA,NA,NA,NA,NA,NA
5009,3,2,1,3,2,1
5010,1,1,0,1,1,0
5011,2,1,1,2,1,1
5012,NA,NA,NA,NA,NA,NA
5013,NA,NA,NA,NA,NA,NA
5014,0,0,0,0,0,0
5015,NA,NA,NA,NA,NA,NA
5016,2,1,1,2,1,1
5017,1,0,1,1,0,1
5018,3,3,0,14,14,0
5019,1,1,0,1,1,0
5020,1,1,0,0,0,0
5021,0,0,0,0,0,0
5022,3,1,2,3,1,2
5023,2,2,0,2,2,0
5024,2,2,0,2,2,0
5025,2,2,0,4,4,0
5026,NA,NA,NA,NA,NA,NA
5027,1,1,0,15,15,0
5028,3,3,0,3,3,0
5029,1,0,1,1,0,1
5030,34,30,4,4,0,4
5031,1,1,0,2,2,0
5032,1,1,0,0,0,0
5033,3,0,3,3,0,3
5034,1,1,0,1,1,0
5035,102,2,100,54,54,0
5036,2,1,1,2,1,1
5037,1,1,0,0,0,0
5038,1,1,0,1,1,0
6001,2,1,1,2,1,1
6002,3,2,1,8,7,1
6003,1,1,0,1,1,0
6004,2,2,0,4,4,0
6005,1,1,0,1,1,0
6006,1,1,0,4,4,0
6007,2,1,1,9,9,0
6008,4,1,3,7,4,3
6009,2,2,0,2,2,0
6010,2,2,0,20,20,0
7001,0,0,0,0,0,0
7002,1,1,0,1,1,0
7003,1,1,0,1,1,0
7004,0,0,0,0,0,0
7005,0,0,0,0,0,0
7006,0,0,0,0,0,0
7007,0,0,0,0,0,0
7008,1,0,1,1,0,1
7009,2,1,1,2,1,1
7010,0,0,0,0,0,0
7011,0,0,0,5,0,5
7012,1,0,1,1,0,1
7013,1,1,0,0,0,0
7014,1,0,1,1,0,1
7015,1,1,0,0,0,0
7016,0,0,0,0,0,0
7017,1,1,0,1,1,0
7018,0,0,0,0,0,0
7019,6,6,0,6,6,0
7020,2,1,1,2,1,1
7021,1,0,1,1,0,1
7022,0,0,0,0,0,0
7023,0,0,0,0,0,0
7024,0,0,0,0,0,0
7025,0,0,0,0,0,0
7026,0,0,0,0,0,0
7027,2,1,1,2,1,1
7028,0,0,0,0,0,0
7029,0,0,0,0,0,0
7030,0,0,0,0,0,0
7031,1,1,0,1,1,0
7032,0,0,0,0,0,0
7033,0,0,0,0,0,0
7034,0,0,0,0,0,0
7035,1,0,1,1,0,1
7036,0,0,0,0,0,0
7037,0,0,0,0,0,0
7038,0,0,0,0,0,0
7039,0,0,0,0,0,0
7040,0,0,0,1,0,1
7041,0,0,0,0,0,0
7042,0,0,0,0,0,0
7043,0,0,0,0,0,0
7044,0,0,0,0,0,0
7045,0,0,0,0,0,0
7046,1,0,1,1,0,1
7047,1,0,1,1,0,1
7048,1,1,0,1,1,0
7049,1,0,1,0,0,0
7050,1,0,1,1,0,1
7051,2,2,0,0,0,0
7052,0,0,0,0,0,0
7053,0,0,0,0,0,0
7054,2,1,1,2,1,1
7055,1,0,1,1,0,1
7056,0,0,0,0,0,0
7057,2,1,1,2,1,1
7058,0,0,0,0,0,0
7059,0,0,0,0,0,0
7060,1,0,1,1,0,1
7061,1,0,1,1,0,1
7062,2,1,1,2,1,1
7063,1,1,0,0,0,0
7064,0,0,0,0,0,0
7065,1,1,0,1,1,0
7066,0,0,0,0,0,0
7067,1,0,1,1,0,1
7068,0,0,0,0,0,0
7069,1,1,0,1,1,0
