ubicageo_f,tipoequi_g,rnsnni1,totalca1
1001,10,2,NA
1001,20,2,NA
1001,30,1,20
1001,41,2,NA
1001,42,2,NA
1001,50,2,NA
1001,60,1,5
1001,70,1,2
1001,80,1,4
1001,90,1,250
1001,101,2,NA
1001,102,2,NA
1001,103,1,20
1001,104,2,NA
1001,105,2,NA
1001,110,2,NA
1002,10,2,NA
1002,20,1,8
1002,30,1,8
1002,41,2,NA
1002,42,2,NA
1002,50,2,NA
1002,60,2,NA
1002,70,2,NA
1002,80,2,NA
1002,90,2,NA
1002,101,2,NA
1002,102,2,NA
1002,103,1,1
1002,104,2,NA
1002,105,2,NA
1002,110,2,NA
1003,10,2,NA
1003,20,2,NA
1003,30,2,NA
1003,41,2,NA
1003,42,2,NA
1003,50,2,NA
1003,60,2,NA
1003,70,2,NA
1003,80,2,NA
1003,90,1,58
1003,101,2,NA
1003,102,2,NA
1003,103,1,1
1003,104,2,NA
1003,105,2,NA
1003,110,2,NA
1004,10,2,NA
1004,20,2,NA
1004,30,2,NA
1004,41,2,NA
1004,42,2,NA
1004,50,2,NA
1004,60,2,NA
1004,70,2,NA
1004,80,2,NA
1004,90,1,72
1004,101,2,NA
1004,102,2,NA
1004,103,2,NA
1004,104,2,NA
1004,105,2,NA
1004,110,2,NA
1005,10,2,NA
1005,20,2,NA
1005,30,2,NA
1005,41,2,NA
1005,42,2,NA
1005,50,2,NA
1005,60,2,NA
1005,70,2,NA
1005,80,2,NA
1005,90,2,NA
1005,101,2,NA
1005,102,2,NA
1005,103,2,NA
1005,104,2,NA
1005,105,2,NA
1005,110,2,NA
1006,10,2,NA
1006,20,2,NA
1006,30,1,1
1006,41,2,NA
1006,42,2,NA
1006,50,2,NA
1006,60,1,1
1006,70,2,NA
1006,80,2,NA
1006,90,1,84
1006,101,2,NA
1006,102,2,NA
1006,103,2,NA
1006,104,2,NA
1006,105,2,NA
1006,110,2,NA
1007,10,2,NA
1007,20,2,NA
1007,30,2,NA
1007,41,2,NA
1007,42,2,NA
1007,50,2,NA
1007,60,2,NA
1007,70,2,NA
1007,80,2,NA
1007,90,2,NA
1007,101,2,NA
1007,102,2,NA
1007,103,2,NA
1007,104,2,NA
1007,105,2,NA
1007,110,2,NA
1008,10,2,NA
1008,20,1,15
1008,30,2,NA
1008,41,2,NA
1008,42,2,NA
1008,50,2,NA
1008,60,2,NA
1008,70,1,6
1008,80,2,NA
1008,90,1,34
1008,101,2,NA
1008,102,2,NA
1008,103,1,1
1008,104,2,NA
1008,105,2,NA
1008,110,2,NA
1009,10,2,NA
1009,20,2,NA
1009,30,1,2
1009,41,2,NA
1009,42,2,NA
1009,50,2,NA
1009,60,2,NA
1009,70,2,NA
1009,80,2,NA
1009,90,1,23
1009,101,2,NA
1009,102,2,NA
1009,103,2,NA
1009,104,2,NA
1009,105,2,NA
1009,110,2,NA
1010,10,2,NA
1010,20,2,NA
1010,30,1,12
1010,41,2,NA
1010,42,2,NA
1010,50,2,NA
1010,60,2,NA
1010,70,2,NA
1010,80,2,NA
1010,90,1,62
1010,101,2,NA
1010,102,2,NA
1010,103,2,NA
1010,104,2,NA
1010,105,2,NA
1010,110,2,NA
1011,10,2,NA
1011,20,2,NA
1011,30,2,NA
1011,41,2,NA
1011,42,2,NA
1011,50,2,NA
1011,60,2,NA
1011,70,2,NA
1011,80,2,NA
1011,90,1,28
1011,101,2,NA
1011,102,2,NA
1011,103,2,NA
1011,104,2,NA
1011,105,2,NA
1011,110,2,NA
2001,10,2,NA
2001,20,2,NA
2001,30,2,NA
2001,41,2,NA
2001,42,2,NA
2001,50,2,NA
2001,60,2,NA
2001,70,2,NA
2001,80,2,NA
2001,90,2,NA
2001,101,2,NA
2001,102,2,NA
2001,103,2,NA
2001,104,2,NA
2001,105,2,NA
2001,110,2,NA
2002,10,2,NA
2002,20,2,NA
2002,30,2,NA
2002,41,2,NA
