ubicageo_f,elemunif_b,rnsnni1,totalca1,frecuenc_e
1001,1,1,1450,3
1001,2,1,2090,3
1001,3,2,NA,0
1001,4,1,350,3
1001,5,1,2528,3
1001,6,1,1450,3
1001,7,2,NA,0
1001,8,1,1500,3
1001,9,1,1663,3
1001,10,1,1185,3
1001,11,2,NA,0
1001,12,1,532,3
1001,13,2,NA,0
1001,14,1,150,3
1001,15,1,1500,3
1001,16,2,NA,0
1002,1,2,NA,0
1002,2,2,NA,0
1002,3,2,NA,0
1002,4,2,NA,0
1002,5,2,NA,0
1002,6,2,NA,0
1002,7,2,NA,0
1002,8,2,NA,0
1002,9,2,NA,0
1002,10,2,NA,0
1002,11,2,NA,0
1002,12,2,NA,0
1002,13,2,NA,0
1002,14,2,NA,0
1002,15,2,NA,0
1002,16,2,NA,0
1003,1,1,52,1
1003,2,1,52,1
1003,3,2,NA,0
1003,4,1,52,1
1003,5,1,52,1
1003,6,1,52,1
1003,7,2,NA,0
1003,8,2,NA,0
1003,9,1,8,1
1003,10,1,52,1
1003,11,2,NA,0
1003,12,1,8,1
1003,13,2,NA,0
1003,14,1,52,1
1003,15,2,NA,0
1003,16,2,NA,0
1004,1,1,28,2
1004,2,1,28,2
1004,3,2,NA,0
1004,4,1,28,2
1004,5,1,28,2
1004,6,1,28,2
1004,7,2,NA,0
1004,8,2,NA,0
1004,9,1,28,2
1004,10,1,28,2
1004,11,2,NA,0
1004,12,2,NA,0
1004,13,2,NA,0
1004,14,1,28,2
1004,15,1,28,2
1004,16,2,NA,0
1005,1,2,NA,0
1005,2,1,30,1
1005,3,2,NA,0
1005,4,2,NA,0
1005,5,1,30,1
1005,6,1,200,1
1005,7,2,NA,0
1005,8,2,NA,0
1005,9,1,170,1
1005,10,1,30,1
1005,11,2,NA,0
1005,12,1,170,1
1005,13,2,NA,0
1005,14,2,NA,0
1005,15,2,NA,0
1005,16,2,NA,0
1006,1,1,1,3
1006,2,1,2,3
1006,3,1,1,3
1006,4,2,NA,0
1006,5,1,1,3
1006,6,1,1,3
1006,7,2,NA,0
1006,8,2,NA,0
1006,9,1,1,3
1006,10,1,1,3
1006,11,2,NA,0
1006,12,1,2,3
1006,13,2,NA,0
1006,14,1,1,3
1006,15,2,NA,0
1006,16,1,1,3
1007,1,2,NA,0
1007,2,1,66,3
1007,3,2,NA,0
1007,4,2,NA,0
1007,5,1,66,3
1007,6,1,66,3
1007,7,2,NA,0
1007,8,2,NA,0
1007,9,1,66,3
1007,10,1,66,3
1007,11,1,66,3
1007,12,1,66,3
1007,13,2,NA,0
1007,14,1,66,3
1007,15,1,66,3
1007,16,2,NA,0
1008,1,2,NA,0
1008,2,2,NA,0
1008,3,2,NA,0
1008,4,1,26,2
1008,5,2,NA,0
1008,6,2,NA,0
1008,7,2,NA,0
1008,8,2,NA,0
1008,9,2,NA,0
1008,10,2,NA,0
1008,11,2,NA,0
1008,12,2,NA,0
1008,13,2,NA,0
1008,14,2,NA,0
1008,15,2,NA,0
1008,16,2,NA,0
1009,1,1,22,2
1009,2,1,22,2
1009,3,2,NA,0
1009,4,1,22,2
1009,5,1,22,2
1009,6,1,22,2
1009,7,2,NA,0
1009,8,2,NA,0
1009,9,1,22,2
1009,10,1,22,2
1009,11,2,NA,0
1009,12,1,22,2
1009,13,2,NA,0
1009,14,1,22,2
1009,15,2,NA,0
1009,16,2,NA,0
1010,1,1,44,3
1010,2,1,44,3
1010,3,1,44,3
1010,4,1,44,3
1010,5,1,44,3
1010,6,1,44,3
1010,7,2,NA,0
1010,8,2,NA,0
1010,9,1,44,3
1010,10,1,44,3
1010,11,2,NA,0
1010,12,1,44,3
1010,13,2,NA,0
1010,14,2,NA,0
1010,15,2,NA,0
1010,16,2,NA,0
1011,1,1,67,1
1011,2,1,67,1
1011,3,1,67,1
1011,4,2,NA,0
1011,5,1,67,1
1011,6,1,67,1
1011,7,2,NA,0
1011,8,2,NA,0
1011,9,1,67,1
1011,10,1,67,1
1011,11,2,NA,0
1011,12,1,67,1
1011,13,2,NA,0
1011,14,1,67,1
1011,15,1,67,1
1011,16,2,NA,0
2001,1,9,NSS,997
2001,2,1,850,3
2001,3,9,NSS,997
2001,4,9,NSS,997
2001,5,1,850,3
2001,6,9,NSS,997
2001,7,9,NSS,997
2001,8,1,850,3
2001,9,1,850,3
2001,10,9,NSS,997
2001,11,9,NSS,997
2001,12,9,NSS,997
2001,13,9,NSS,997
2001,14,9,NSS,997
2001,15,9,NSS,997
