ubicageo_f,jornalab_c,sexostt,sexos1,sexos2,sexosne
1001,1,0,0,0,
1001,2,0,0,0,
1001,3,0,0,0,
1001,4,0,0,0,
1001,5,1349,1038,311,
1001,6,0,0,0,
1001,7,0,0,0,
1001,8,0,0,0,
1001,9,0,0,0,
1001,10,0,0,0,
1001,11,0,0,0,
1001,12,0,0,0,
1001,13,0,0,0,
1001,14,0,0,0,
1002,1,0,0,0,
1002,2,0,0,0,
1002,3,0,0,0,
1002,4,0,0,0,
1002,5,59,44,15,
1002,6,0,0,0,
1002,7,0,0,0,
1002,8,0,0,0,
1002,9,0,0,0,
1002,10,0,0,0,
1002,11,0,0,0,
1002,12,0,0,0,
1002,13,0,0,0,
1002,14,0,0,0,
1003,1,0,0,0,
1003,2,0,0,0,
1003,3,0,0,0,
1003,4,0,0,0,
1003,5,52,41,11,
1003,6,0,0,0,
1003,7,0,0,0,
1003,8,0,0,0,
1003,9,0,0,0,
1003,10,0,0,0,
1003,11,0,0,0,
1003,12,0,0,0,
1003,13,0,0,0,
1003,14,0,0,0,
1004,1,0,0,0,
1004,2,0,0,0,
1004,3,0,0,0,
1004,4,0,0,0,
1004,5,30,18,12,
1004,6,0,0,0,
1004,7,0,0,0,
1004,8,0,0,0,
1004,9,0,0,0,
1004,10,0,0,0,
1004,11,0,0,0,
1004,12,0,0,0,
1004,13,0,0,0,
1004,14,0,0,0,
1005,1,0,0,0,
1005,2,0,0,0,
1005,3,0,0,0,
1005,4,0,0,0,
1005,5,167,120,47,
1005,6,0,0,0,
1005,7,0,0,0,
1005,8,0,0,0,
1005,9,0,0,0,
1005,10,0,0,0,
1005,11,0,0,0,
1005,12,0,0,0,
1005,13,0,0,0,
1005,14,0,0,0,
1006,1,0,0,0,
1006,2,8,1,7,
1006,3,0,0,0,
1006,4,2,2,0,
1006,5,47,20,27,
1006,6,0,0,0,
1006,7,0,0,0,
1006,8,0,0,0,
1006,9,0,0,0,
1006,10,0,0,0,
1006,11,0,0,0,
1006,12,0,0,0,
1006,13,0,0,0,
1006,14,8,4,4,
1007,1,0,0,0,
1007,2,0,0,0,
1007,3,0,0,0,
1007,4,0,0,0,
1007,5,66,49,17,
1007,6,0,0,0,
1007,7,0,0,0,
1007,8,0,0,0,
1007,9,0,0,0,
1007,10,0,0,0,
1007,11,0,0,0,
1007,12,0,0,0,
1007,13,0,0,0,
1007,14,0,0,0,
1008,1,0,0,0,
1008,2,0,0,0,
1008,3,0,0,0,
1008,4,0,0,0,
1008,5,26,14,12,
1008,6,0,0,0,
1008,7,0,0,0,
1008,8,0,0,0,
1008,9,0,0,0,
1008,10,0,0,0,
1008,11,0,0,0,
1008,12,0,0,0,
1008,13,0,0,0,
1008,14,0,0,0,
1009,1,2,2,0,
1009,2,0,0,0,
1009,3,0,0,0,
1009,4,0,0,0,
1009,5,20,15,5,
1009,6,0,0,0,
1009,7,0,0,0,
1009,8,0,0,0,
1009,9,0,0,0,
1009,10,0,0,0,
1009,11,0,0,0,
1009,12,0,0,0,
1009,13,0,0,0,
1009,14,0,0,0,
1010,1,0,0,0,
1010,2,0,0,0,
1010,3,0,0,0,
1010,4,0,0,0,
1010,5,44,31,13,
1010,6,0,0,0,
1010,7,2,2,0,
1010,8,0,0,0,
1010,9,0,0,0,
1010,10,0,0,0,
1010,11,0,0,0,
1010,12,0,0,0,
1010,13,0,0,0,
1010,14,0,0,0,
1011,1,0,0,0,
1011,2,0,0,0,
1011,3,0,0,0,
1011,4,58,28,30,
1011,5,0,0,0,
1011,6,0,0,0,
1011,7,2,2,0,
1011,8,0,0,0,
1011,9,0,0,0,
1011,10,0,0,0,
1011,11,0,0,0,
1011,12,0,0,0,
1011,13,0,0,0,
1011,14,0,0,0,
