ubicageo_f,preslab_e,rnsnni1,rnsnni2,sexostt,sexos1,sexos2,sexosne
1001,1,1,1,1349,1038,311,
1001,2,2,0,NA,NA,NA,
1001,3,2,0,NA,NA,NA,
1001,4,2,0,NA,NA,NA,
1001,5,2,0,NA,NA,NA,
1001,6,1,1,1,1,0,
1001,7,1,1,1,1,0,
1001,8,2,0,NA,NA,NA,
1001,9,2,0,NA,NA,NA,
1001,10,2,0,NA,NA,NA,
1001,11,2,0,NA,NA,NA,
1001,12,2,0,NA,NA,NA,
1001,13,2,0,NA,NA,NA,
1001,14,2,0,NA,NA,NA,
1001,15,2,0,NA,NA,NA,
1001,16,2,0,NA,NA,NA,
1001,17,2,0,NA,NA,NA,
1001,18,2,0,NA,NA,NA,
1001,19,2,0,NA,NA,NA,
1001,20,2,0,NA,NA,NA,
1001,21,2,0,NA,NA,NA,
1001,22,2,0,NA,NA,NA,
1001,23,2,0,NA,NA,NA,
1001,24,1,1,1,1,0,
1001,25,2,0,NA,NA,NA,
1001,26,2,0,NA,NA,NA,
1001,27,2,0,NA,NA,NA,
1001,28,1,1,1349,1038,311,
1001,29,2,0,NA,NA,NA,
1001,30,1,1,1349,1038,311,
1001,31,2,0,NA,NA,NA,
1001,32,2,0,NA,NA,NA,
1001,33,2,0,NA,NA,NA,
1002,1,1,1,59,44,15,
1002,2,2,0,NA,NA,NA,
1002,3,2,0,NA,NA,NA,
1002,4,2,0,NA,NA,NA,
1002,5,2,0,NA,NA,NA,
1002,6,2,0,NA,NA,NA,
1002,7,2,0,NA,NA,NA,
1002,8,2,0,NA,NA,NA,
1002,9,1,2,NA,NA,NA,
1002,10,2,0,NA,NA,NA,
1002,11,2,0,NA,NA,NA,
1002,12,2,0,NA,NA,NA,
1002,13,2,0,NA,NA,NA,
1002,14,2,0,NA,NA,NA,
1002,15,2,0,NA,NA,NA,
1002,16,2,0,NA,NA,NA,
1002,17,2,0,NA,NA,NA,
1002,18,2,0,NA,NA,NA,
1002,19,1,1,59,44,15,
1002,20,2,0,NA,NA,NA,
1002,21,2,0,NA,NA,NA,
1002,22,1,2,NA,NA,NA,
1002,23,2,0,NA,NA,NA,
1002,24,1,1,59,44,15,
1002,25,2,0,NA,NA,NA,
1002,26,2,0,NA,NA,NA,
1002,27,2,0,NA,NA,NA,
1002,28,1,1,59,44,15,
1002,29,2,0,NA,NA,NA,
1002,30,1,1,59,44,15,
1002,31,2,0,NA,NA,NA,
1002,32,2,0,NA,NA,NA,
1002,33,2,0,NA,NA,NA,
1003,1,1,1,52,41,11,
1003,2,2,0,NA,NA,NA,
1003,3,2,0,NA,NA,NA,
1003,4,2,0,NA,NA,NA,
1003,5,2,0,NA,NA,NA,
1003,6,2,0,NA,NA,NA,
1003,7,2,0,NA,NA,NA,
1003,8,2,0,NA,NA,NA,
1003,9,2,0,NA,NA,NA,
1003,10,2,0,NA,NA,NA,
1003,11,1,1,52,41,11,
1003,12,2,0,NA,NA,NA,
1003,13,2,0,NA,NA,NA,
1003,14,2,0,NA,NA,NA,
1003,15,2,0,NA,NA,NA,
1003,16,1,1,52,41,11,
1003,17,1,1,52,41,11,
1003,18,1,1,52,41,11,
1003,19,1,1,52,41,11,
1003,20,1,1,52,41,11,
1003,21,1,1,52,41,11,
1003,22,1,1,52,41,11,
1003,23,2,0,NA,NA,NA,
1003,24,2,0,NA,NA,NA,
1003,25,2,0,NA,NA,NA,
1003,26,2,0,NA,NA,NA,
1003,27,2,0,NA,NA,NA,
1003,28,1,1,52,41,11,
1003,29,1,1,52,41,11,
1003,30,1,1,52,41,11,
1003,31,2,0,NA,NA,NA,
1003,32,1,1,52,41,11,
1003,33,2,0,NA,NA,NA,
1004,1,1,1,30,18,12,
1004,2,2,0,NA,NA,NA,
1004,3,2,0,NA,NA,NA,
1004,4,2,0,NA,NA,NA,
1004,5,2,0,NA,NA,NA,
1004,6,2,0,NA,NA,NA,
1004,7,2,0,NA,NA,NA,
1004,8,2,0,NA,NA,NA,
1004,9,2,0,NA,NA,NA,
1004,10,2,0,NA,NA,NA,
1004,11,2,0,NA,NA,NA,
1004,12,2,0,NA,NA,NA,
1004,13,1,1,30,18,12,
1004,14,2,0,NA,NA,NA,
1004,15,2,0,NA,NA,NA,
1004,16,2,0,NA,NA,NA,
1004,17,2,0,NA,NA,NA,
1004,18,2,0,NA,NA,NA,
1004,19,2,0,NA,NA,NA,
