ubicageo_f,inftrans_d,totalca1
1001,1,23494
1001,2,2523
1001,3,0
1001,4,0
1001,5,1308
1001,6,0
1001,7,0
1001,8,7602
1001,9,0
1001,10,0
1001,11,0
1001,12,100
1001,13,0
1001,14,0
1001,15,0
1001,16,44978
1001,17,0
1001,18,34
1001,19,2010
1001,20,6
1001,21,0
1001,22,3286
1001,23,315
1001,24,5431
1001,25,55
1001,26,0
1001,27,2228
1001,28,0
1001,29,0
1001,30,0
1001,31,0
1001,32,0
1001,33,0
1001,34,9496
1001,35,0
1001,36,817
1001,37,0
1001,38,0
1001,39,0
1001,40,0
1001,41,0
1001,42,0
1001,43,0
1001,44,2486
1001,45,19452
1001,46,0
1002,1,10
1002,2,40
1002,3,0
1002,4,0
1002,5,23
1002,6,0
1002,7,0
1002,8,0
1002,9,3
1002,10,10
1002,11,0
1002,12,0
1002,13,0
1002,14,0
1002,15,0
1002,16,0
1002,17,0
1002,18,0
1002,19,0
1002,20,2
1002,21,0
1002,22,66
1002,23,16
1002,24,2
1002,25,0
1002,26,0
1002,27,31
1002,28,0
1002,29,0
1002,30,0
1002,31,0
1002,32,17
1002,33,0
1002,34,0
1002,35,0
1002,36,132
1002,37,0
1002,38,0
1002,39,3
1002,40,0
1002,41,0
1002,42,0
1002,43,0
1002,44,0
1002,45,0
1002,46,0
1003,1,69
1003,2,108
1003,3,2
1003,4,2
1003,5,48
1003,6,32
1003,7,21
1003,8,8
1003,9,0
1003,10,0
1003,11,0
1003,12,0
1003,13,0
1003,14,26
1003,15,0
1003,16,776
1003,17,0
1003,18,0
1003,19,0
1003,20,10
1003,21,0
1003,22,150
1003,23,67
1003,24,1
1003,25,0
1003,26,1
1003,27,37
1003,28,9
1003,29,6
1003,30,0
1003,31,2
1003,32,8
1003,33,0
1003,34,256
1003,35,7
1003,36,141
1003,37,0
1003,38,0
1003,39,0
1003,40,0
1003,41,0
1003,42,0
1003,43,0
1003,44,0
1003,45,0
1003,46,0
1004,1,15
1004,2,61
1004,3,0
1004,4,0
1004,5,7
1004,6,0
1004,7,0
1004,8,0
1004,9,12
1004,10,0
1004,11,0
1004,12,0
1004,13,3
1004,14,4
1004,15,0
1004,16,8
1004,17,0
1004,18,0
1004,19,0
1004,20,0
1004,21,0
1004,22,417
1004,23,28
1004,24,28
1004,25,22
1004,26,0
1004,27,21
1004,28,2
1004,29,56
1004,30,0
1004,31,0
1004,32,5
1004,33,0
1004,34,93
1004,35,15
1004,36,267
1004,37,0
1004,38,10
1004,39,0
1004,40,0
1004,41,0
1004,42,0
1004,43,0
1004,44,0
1004,45,0
1004,46,0
1005,1,113
1005,2,195
1005,3,44
1005,4,10
1005,5,146
1005,6,0
1005,7,0
1005,8,434
1005,9,29
1005,10,0
1005,11,0
1005,12,3
1005,13,0
1005,14,0
1005,15,0
1005,16,0
1005,17,0
1005,18,0
1005,19,4
1005,20,58
1005,21,0
1005,22,391
1005,23,4
1005,24,2
1005,25,19
1005,26,0
1005,27,7
1005,28,0
1005,29,44
1005,30,0
1005,31,0
1005,32,42
1005,33,0
1005,34,479
1005,35,27
1005,36,305
1005,37,0
1005,38,0
1005,39,0
1005,40,0
1005,41,0
1005,42,0
1005,43,0
1005,44,0
1005,45,0
1005,46,0
1006,1,8
1006,2,139
1006,3,0
1006,4,1
1006,5,39
1006,6,0
1006,7,7
1006,8,10
1006,9,4
1006,10,0
1006,11,0
1006,12,0
1006,13,59
1006,14,0
1006,15,0
1006,16,522
1006,17,0
1006,18,0
1006,19,0
1006,20,0
1006,21,100
1006,22,30
1006,23,0
1006,24,1
1006,25,0
1006,26,0
1006,27,6
1006,28,0
1006,29,3
1006,30,0
1006,31,2
1006,32,4
1006,33,0
1006,34,75
1006,35,18
1006,36,162
1006,37,0
1006,38,0
1006,39,0
1006,40,7
1006,41,0
1006,42,0
1006,43,0
1006,44,0
1006,45,0
1006,46,0
1007,1,0
1007,2,42
1007,3,13
1007,4,0
1007,5,83
1007,6,0
1007,7,0
1007,8,0
1007,9,8
1007,10,0
1007,11,0
1007,12,0
1007,13,0
1007,14,0
1007,15,0
1007,16,259
1007,17,0
1007,18,0
1007,19,0
1007,20,0
1007,21,0
1007,22,254
1007,23,34
1007,24,4
1007,25,7
1007,26,0
1007,27,46
1007,28,0
1007,29,0
1007,30,0
1007,31,0
1007,32,84
1007,33,0
1007,34,6
1007,35,0
1007,36,120
1007,37,0
1007,38,0
1007,39,0
1007,40,0
1007,41,0
