ubicageo_f,tordenes_b,rnsnni1,ordcum1,ordcum2
1001,1,2,NA,NA
1001,2,2,NA,NA
1001,3,2,NA,NA
1001,4,1,339,NSS
1001,5,1,5489,5489
1001,6,1,991,991
1002,1,1,15,15
1002,2,2,NA,NA
1002,3,2,NA,NA
1002,4,2,NA,NA
1002,5,1,110,110
1002,6,2,NA,NA
1003,1,1,17,17
1003,2,2,NA,NA
1003,3,2,NA,NA
1003,4,2,NA,NA
1003,5,9,NSS,NSS
1003,6,9,NSS,NSS
1004,1,2,NA,NA
1004,2,2,NA,NA
1004,3,2,NA,NA
1004,4,2,NA,NA
1004,5,1,NSS,NSS
1004,6,2,NA,NA
1005,1,2,NA,NA
1005,2,2,NA,NA
1005,3,1,9,9
1005,4,2,NA,NA
1005,5,2,NA,NA
1005,6,2,NA,NA
1006,1,2,NA,NA
1006,2,2,NA,NA
1006,3,1,5,5
1006,4,1,32,32
1006,5,1,137,137
1006,6,2,NA,NA
1007,1,9,NSS,NSS
1007,2,9,NSS,NSS
1007,3,9,NSS,NSS
1007,4,9,NSS,NSS
1007,5,9,NSS,NSS
1007,6,9,NSS,NSS
1008,1,1,2,2
1008,2,2,NA,NA
1008,3,2,NA,NA
1008,4,1,40,0
1008,5,1,11,11
1008,6,1,3,0
1009,1,2,NA,NA
1009,2,2,NA,NA
1009,3,2,NA,NA
1009,4,1,19,19
1009,5,1,13,13
1009,6,2,NA,NA
1010,1,2,NA,NA
1010,2,2,NA,NA
1010,3,2,NA,NA
1010,4,2,NA,NA
1010,5,1,65,65
1010,6,2,NA,NA
1011,1,2,NA,NA
1011,2,2,NA,NA
1011,3,2,NA,NA
1011,4,2,NA,NA
1011,5,1,273,273
1011,6,2,NA,NA
2001,1,2,NA,NA
2001,2,2,NA,NA
2001,3,2,NA,NA
2001,4,2,NA,NA
2001,5,1,292,292
2001,6,2,NA,NA
2002,1,2,NA,NA
2002,2,2,NA,NA
2002,3,2,NA,NA
2002,4,2,NA,NA
2002,5,2,NA,NA
2002,6,2,NA,NA
2003,1,1,14,14
2003,2,2,NA,NA
2003,3,2,NA,NA
2003,4,2,NA,NA
2003,5,1,120,120
2003,6,2,NA,NA
2004,1,2,NA,NA
2004,2,2,NA,NA
2004,3,2,NA,NA
2004,4,2,NA,NA
2004,5,1,8957,8957
2004,6,2,NA,NA
2005,1,2,NA,NA
2005,2,2,NA,NA
2005,3,2,NA,NA
2005,4,2,NA,NA
2005,5,2,NA,NA
2005,6,2,NA,NA
2006,1,2,NA,NA
2006,2,2,NA,NA
2006,3,2,NA,NA
2006,4,2,NA,NA
2006,5,2,NA,NA
2006,6,2,NA,NA
2007,1,2,NA,NA
2007,2,2,NA,NA
2007,3,2,NA,NA
2007,4,1,5,0
2007,5,1,100,0
2007,6,2,NA,NA
3001,1,2,NA,NA
3001,2,2,NA,NA
3001,3,2,NA,NA
3001,4,2,NA,NA
3001,5,2,NA,NA
3001,6,2,NA,NA
3002,1,2,NA,NA
3002,2,2,NA,NA
3002,3,2,NA,NA
3002,4,2,NA,NA
3002,5,9,NSS,NSS
3002,6,9,NSS,NSS
3003,1,2,NA,NA
3003,2,2,NA,NA
3003,3,2,NA,NA
3003,4,1,358,358
3003,5,1,1200,1200
3003,6,2,NA,NA
3008,1,9,NSS,NSS
3008,2,9,NSS,NSS
3008,3,9,NSS,NSS
3008,4,9,NSS,NSS
3008,5,1,1700,1700
3008,6,2,NA,NA
3009,1,2,NA,NA
3009,2,2,NA,NA
3009,3,2,NA,NA
