ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
1001,2,1,NSS,2,4,1,1,1,1,1,1,,,1,,,,1,,,,,,,,
1002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,1,NSS,99,1,,,,,1,,,,,,1,,,,,,,,,,
1005,2,1,2014,2,5,1,1,1,1,1,1,,,,,,,,,,,,,,1,
1006,2,1,2015,5,5,1,1,1,1,1,1,,,,,,,1,,,,,,1,,
1007,2,1,2017,5,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
1008,2,1,2014,1,9,1,1,1,1,1,1,,,,,,,1,,,,,,,,
1009,2,1,2020,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
1010,2,1,2022,5,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
1011,2,1,2000,3,1,1,1,,,,,,,,,,,1,,,,,,,,
2001,2,1,2015,5,3,1,1,1,,,1,,,,,,,,,,,,,,1,
2002,2,1,1999,1,5,1,1,,,,1,1,,,,,,,,,,,,1,,
2003,2,1,2008,5,3,,,1,,,,,,,,,,1,,,,,,,,
2004,2,1,2006,2,5,,,,,1,,,,,,,,,,1,,,,,,
2005,2,1,2010,1,1,,1,,,,,,,,,,,,,,,,,1,,
2006,2,1,2022,10,3,1,1,1,1,1,,,,,,,,,,,,,,,1,
2007,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3001,2,1,2005,12,4,1,1,1,,,,,,,,,,,,,,,,1,,
3002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3003,2,1,NSS,99,5,1,1,1,,,1,,,,,,,,,,,,,,1,
3008,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3009,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4001,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
